азғана	a little
бахыт	fortune
қырық	forty
қырық еки	forty-two
алға	forward
тәрбиялаў	foster
гүрести	fought
табылған	found
тийкар	foundation
төрт	four
он төрт	fourteen
түлки	fox
морт	fragile
рамка	frame
каркас	framework
алдаўшылық	fraud
сықылсыз	freak
еркин	free
еркинлик	freedom
музлаў	freeze
жийилик	frequency
жийи	frequent
тез-тезден	frequently
жаңа	fresh
жума	friday
музлатқыш	fridge
дос	friend
досшыл	friendly
дослар	friends
дослық	friendship
қорқып қалған	frightened
қорқынышлы	frightening
қурбақа	frog
алды	front
музлаған	frozen
мийўе	fruit
ашыўлaнған	frustrated
жанылғы	fuel
Фулфулдэ	Fulfulde
толық	full
қызықлы	fun
функция	function
фундаментал	fundamental
жаназа	funeral
күлкили	funny
жүн	fur
қәҳәрли	furious
мебель	furniture
келеси	further
қала берсе	furthermore
келешек	future
ерисиў	gain
ерискенлик	gain
ойын	game
бослық	gap
гараж	garage
шығынды	garbage
бағ	garden
сарымсақ	garlic
дәрўаза	gate
жыйнаў	gather
жыйналыў	gathering
көрсеткиш	gauge
берди	gave
механизм	gear
жыныс	gender
улыўмалық	general
улыўма	generally
жаратыў	generate
әўлад	generation
қолы ашық	generous
дана	genius
жанр	genre
мүләйим	gentle
шын	genuine
қылық	gesture
алыў	get
кийиниў	get dressed
турыў	get up
тезирек тәўир болып кетиң	get well soon
алыў	getting
әрўақ	ghost
биреўдиң орнына ислеў	ghosting
күтә үлкен	giant
саўға	gift
имбирь	ginger
қыз бала	girl
яр	girlfriend
бериў	give
тоқтатыў	give up
берилген	given
шад	glad
қараў	glance
стакан	glass
көзәйнек	glasses
жылтылдаў	glimpse
дүнья жүзлик	global
түнерген	gloomy
қолғап	gloves
жылтыраў	glow
жайнап кетиў	glow up
желим	glue
барыў	go
баслаң	go ahead
кет	go away
уйықлаўға жатыў	go to bed
мақсет	goal
мақсет	goals
ешки	goat
қудай	god
қудай жарылқасын	god bless you
барады	goes
баратырған	going
қылажық болыў	going to
алтын	gold
кетти	gone
жапысқақ предмет	goo
жақсылық	good
жақсы	good
қайырлы күн	good afternoon
хош болың	good bye
күнди жақсы өткериң	good day
қайырлы кеш	good evening
бәрекелла	good job
сыпайы	good looking
табыс тилеймен	good luck
қайырлы таң	good morning
қайырлы таң сүйиклим	good morning my love
қайырлы түн	good night
хош болың	goodbye
қайырлы түн	goodnight
товарлар	goods
Google	Google
Google Translate	Google Translate
ғаз	goose
гѳззал	gorgeous
өсек	gossip
болды	got
түсиндим	got it
мәмлекет	government
услаў	grab
класс	grade
кем-кемнен	gradually
жоқары оқыў орнын питкериў	graduate
дән	grain
грант	grant
менен тәмийинленген	granted
жүзим	grapes
беккем услаў	grasp
шөп	grass
миннетдар	grateful
миннетдаршылық	gratitude
қәбир	grave
күл рең	gray
уллы	great
ашкөзлик	greed
ашкөз	greedy
жасыл	green
сәлемлесиў	greet
сәлемлесиў	greeting
сәлем	greetings
күл рең	grey
сетка	grid
қайғы	grief
егеў	grind
услаў	grip
азық-аўқат дүкәны	grocery
күйеў	groom
брутто	gross
жер	ground
топар	group
ѳсиў	grow
өсиў	growth
кейпиятсыз	grumpy
Гуарани	Guarani
кепиллик	guarantee
тәнсақшы	guard
ойлаў	guess
қонақ	guest
қолланба	guidance
қолланба	guide
басқарыў	guide
айыплы	guilty
жигит	guy
жигитлер	guys
спортзал	gym
әдет	habit
жасаў орталығы	habitat
бар болды	had
буршақ	hail
шаш	hair
ярым	half
зал	hall
қол	hand
еплеў	handle
келискен	handsome
илиў	hang
айланыўға шығыў	hang out
жүз бериў	happen
жүз берди	happened
бахыт	happiness
бахытлы	happy
туўылған күниңиз бенен	happy birthday
туўылған күниңиз қутлы болсын	happy birthday to you
жаңа жылыңыз бенен	happy new year
қатты	hard
зорға	hardly
дерлик ҳешқашан	hardly ever
зыян	harm
зыян жеткериў	harm
зыянлы	harmful
гармония	harmony
қатаң	harsh
қырман	harvest
бар	has
жек көриў	hate
бар	have
күнди жақсы өткериң	have a good day
күнди жақсы өткериң	have a nice day
таңғы асты жеў	have breakfast
ўақтын шад өткериў	have fun
бирдеме жедиңиз бе	have you eaten
бар болыў	having
қәўип	hazard
думан	haze
ол	he
ода бар	he has
ол	he is
бас	head
бас аўырыў	headache
жара питиў	heal
жараның питиўи	healing
саламатлық	health
саламат	healthy
еситиў	hear
еситти	heard
жүрек	heart
ыссылық	heat
ысытыў	heat
жәннет	heaven
аўыр	heavy
тынышсызланған	hectic
бойы	height
мийрасхор	heir
тонаў	heist
ѳткерилген	held
дозақ	hell
Сәлем	Hello
сәлем қәдирданым	hello dear
сәлем, қалайсыз	hello how are you
cәлем, аўҳалыңыз қалай	hello how are you doing
шлем	helmet
жәрдем	help
пайдалы	helpful
сонлықтан	hence
оның	her
үйир	herd
усы жерде	here
мәдений мийрас	heritage
екилениў	hesitate
Ҳәй	Hey
Сәлем	Hi
сәлем, қалайсыз	hi how are you
Сәлем	Hi there
жасырын	hidden
жасырыў	hide
иерархия	hierarchy
бийик	high
айырып көрсетиў	highlight
экскурсия	hike
походқа шығыў	hiking
жүдә күлкили	hilarious
төбешик	hill
оны	him
ишарат етиў	hint
жанбас	hip
еки жанбас	hips
жаллаў	hire
жаллаў	hiring
оның	his
тарийх	history
соққы бериў	hit
Ым	Hmm
хобби	hobby
услап турыў	hold
күтип турың	hold on
тесик	hole
байрам	holiday
геўик	hollow
үй	home
үй жумысы	homework
ҳадал	honest
шынын айтқанда	honestly
пал	Honey
әзизим	Honey
иззет	honor
капюшон	hood
илгек	hook
секириў	hop
үмит	hope
үмит етиў	hope
үмит еткен ҳалда	hopefully
үмитсиз	hopeless
кесесине	horizontal
шақ	horn
қорқынышлы	horrible
қорқыныш	horror
ат	horse
емлеўхана	hospital
миймандослық	hospitality
мезбанлық етиў	host
мезбан	host
душпанларша	hostile
ыссы	hot
мийманхана	hotel
саат	hour
саатлар	hours
үй	house
хожалық буйымлары	household
қалай	how
сиз шe	how about you
қалайсыз	how are you
аўҳалыңыз қалай	how are you doing
бүгин аўҳалыңыз қалай	how are you doing today
бүгин аўҳалыңыз қалай	how are you today
аўҳалыңыз қалай	how do you do
қалай	how is
неше	how many
қанша	how much
қәншелли жийи	how often
жасыңыз нешеде	how old are you
күниңиз қалай өтти	how was your day
түнди қалай өткердиңиз	how was your night
сонда да	however
искерлик орайы	hub
жигитим	hubby
қушақ	hug
қушақлаў	hug
үлкен	huge
инсан	human
кишипейил	humble
ызғар	humid
ығаллылық	humidity
жүз	hundred
аш	hungry
аң аўлаў	hunt
дүбелей	hurricane
асығыў	hurry
асығың	hurry up
қапа етиў	hurt
ѳмирлик жолдас	husband
тыпырлаў	hustle
шала ис	hustle
қора	hut
гигиена	hygiene
Мен	I
Мен	I am
жақсыман	I am fine
қолымнан келеди	I can
қолымнан келмейди	I can't
қыламан	I do
билмеймен	I do not know
түсинбеймен	I do not understand
Билмеймен	I don't know
Мен түсинбеймен	I don't understand
не деп турғаныңызды түсинбей турман	I don't understand what you mean
сизди түсинбей турман	I don't understand you
билмеймен	I don’t know
түсинбеймен	I don’t understand
ойлаўымша	i guess
менде бар еди	I had
Менде бар	I have
Мен	I have been
солай деп үмит етемен	I hope so
Билемен	I know
унатаман	I like
сизди унатаман	I like you
сүйемен	I love
әжағамды жақсы көремен	I love my big brother
әжапамды жақсы көремен	I love my big sister
әкемди жақсы көремен	I love my father
кишкене инимди жақсы көремен	I love my little brother
кишкене қарындасымды жақсы көремен	I love my little sister
анамды жақсы көремен	I love my mother
Мен сизди сүйемен	I love you
Cизди қатты сүйемен	I love you so much
Мен де сизди сүйемен	I love you too
нәзерде тутып турман	I mean
Cизди сағындым	I miss you
сизди қатты сағындым	I miss you so much
Түсинемен	I see
ойымша	I think
Түсинемен	I understand
қәлеймен	I want
сизди көргим келип тур	I want to see you
сени қәлеп турман	I want you
Мен	I was
Мен	I will
Мен	I would be
Мен	I'm
Жақсыман	I'm fine
жақсыман	I'm good
усы жердемен	I'm here
Мени кешириң	I'm sorry
муз	ice
музқаймақ	ice cream
пикир	idea
кемиси болмаған	ideal
бирдей	identical
анықлыў	identify
шахсты анықлаўшы	identity
ахмақ	idiot
ериниў	idle
егер	if
итибар бермеў	ignore
кесел	ill
нызамсыз	illegal
кеселлик	illness
Илокан	Ilocano
имидж	image
көз алдына келтириў	imagine
дәрриў	immediate
дәрҳал	immediately
жүдә үлкен	immense
тәсир	impact
тәсирин тийгизиў	impact
шыдамсыз	impatient
енгизиў	implement
импорт қылыў	import
импорт	import
әҳмийетли	important
шәрт етип белгилеў	impose
илажы жоқ	impossible
ҳайран қалдырыў	impress
ядта қалыў	impression
тәсирли	impressive
жақсыланыў	improve
жақсыланыў	improvement
ишинде	in
қомысша түрде	in addition
ҳақыйқатында	In fact
алдында	in front of
ушын	in order to
надурыс болған	inappropriate
марапатлаў	incentive
инцидент	incident
өз ишине алыў	include
өз ишине алған ҳалда	including
кирим	income
қолайсызлық	inconvenience
кѳтерилиў	increase
көтерилген	increased
исенип болмас дәрежеде	incredible
шынында да	indeed
ғәрезсиз	independent
Ҳиндистан	India
көрсетиў	indicate
түпкиликли	indigenous
индивидуал	individual
санаат	industry
сөзсиз болатуғын	inevitable
гөдек	infant
инфекция	infection
шексизлик	infinity
исиниў	inflammation
қунсызланыў	inflation
тәсир	influence
тәсир етиў	influence
хабарлаў	inform
мағлыўмат	information
қурамы	ingredients
мийрас етип алыў	inheritance
дәслепки	initial
баслама	initiative
жарақатланған	injured
жарақат	injury
бийайып	innocent
инновация	innovation
сорастырыў	inquiry
есер	insane
қурт-қумырсқа	insect
қәўипсиз болмаған	insecure
киргизиў	insert
иши	inside
терең түсиниклер	insight
турып алыў	insist
уйқысызлық	insomnia
илҳамланыў	inspiration
йошландырыў	inspire
орнатыў	install
мысал	instance
жылдам	instant
орнына	instead
орнына	instead of
көрсетпелер	instructions
инструмент	instrument
кемситиў	insult
қамсызландырыў	insurance
пүтин	intact
пүтинлик	integrity
интеллектуал	intellectual
интеллект	intelligence
ақыллы	intelligent
нийетлениў	intend
ойланған	intended
тығыз	intense
нийет	intention
өз-ара тәсирлесиў	interact
өз-ара тәсирлесиў	interaction
қызығыў	interest
қызыққан	interested
қызықлы	interesting
араласыў	interfere
орта дәрежедеги	intermediate
ишки	internal
халықаралық	international
әмелият	internship
аўдармалаў	interpret
аўдармашы	interpreter
кесент етиў	interrupt
сәўбет	interview
ымлаў	intimate
ишине	into
таныстырыў	introduce
кирисиў	introduction
интроверт	introvert
интуиция	intuition
әмелде болмаған	invalid
жаратыў	invent
инвентаризация	inventory
инвестиция киритиў	invest
изертлеў	investigate
мирәтнама	invitation
шақырыў	invite
инвойс	invoice
инвойс жибериў	invoice
араласыў	involve
ишине алған	involved
темир	iron
утюглеў	iron
атаў	island
бөлекленген	isolated
машқала	issue
шығарыў	issue
мәселелер	issues
ол	it
ол	it is
еди	it was
ол	it's
зыяны жоқ	it's ok
ҳеш гәп	It's okay
предмет	item
предметлер	items
оның	its
Мен	I’m
куртка	jacket
түрме	jail
Январь	January
банка	jar
жақ	jaw
қызғаныў	jealous
тез қыймылдатыў	jerk
тағыншақ	jewelry
жумыс	job
жуўырыў	jogging
қосылыў	join
буўын	joint
ҳәзил	joke
журналист	journalist
саяхат	journey
кеўил хошлық	joy
судья	judge
критикалаў	judge
шербет	juice
июль	july
секириў	jump
июнь	june
жуўынды	junk
туўры	just
тек ғана	just
тек ислең	just do it
әдиллик	justice
тийкарлап бериў	justify
Калааллисут	Kalaallisut
Қарақалпақша	Kara-Kalpak
Қарақалпақ	Kara-Kalpak
қызығыў	keen
сақлаў	keep
тоқтамаң	keep it up
сақлады	kept
шәйнек	kettle
гилт	key
тебиў	kick
бала	kid
ҳәзиллесиў	kidding
бөтеке	kidney
балалар	kids
өлтириў	kill
түр	kind
мийирман	kind
сыяқлы	kinda
мүләйим	kindly
мийирманлық	kindness
патша	king
поса	kiss
асхана	kitchen
пәтпелек	kite
пышықтың баласы	kitten
дизе	knee
билди	knew
пышақ	knife
рыцарь	knight
билиў	know
билим	knowledge
белгили	known
Конкани	Konkani
Крио	Krio
ярлык жабыстырыў	label
ярлык	label
мийнет	labor
мийнет	labour
жетиспеў	lack
зәңги	ladder
сулыў қыз	lady
қойылған	laid
көл	lake
қой гөши	lamb
ақсақ	lame
лампа	lamp
жер	land
қоныў	land
ландшафт	landscape
тил	language
дизе	lap
үлкен	large
ѳткен	last
соңғы, бирақ тең әҳмийетли	last but not least
фамилия	last name
кеш	late
кейинги ўақытта	lately
кеширек	later
соңғы	latest
екиншиси	latter
күлиў	laugh
күлиў	laughing
күлки	laughter
әмелге киритиў	launch
кир жуўыў	laundry
нызам	law
газон	lawn
юрист	lawyer
қойыў	lay
қатлам	layer
дүзилиси	layout
ериншек	lazy
жетеклеў	lead
жетекши	leader
жапырақ	leaf
сызып ағыў	leak
сүйениў	lean
секирип өтиў	leap
үйрениў	learn
үйрениў	learning
ижараға бериў	lease
ең кем	least
териден исленген	leather
кетиў	leave
дем алыс	leave
жапырақлар	leaves
апарды	led
шеп	left
аяқ	leg
мийрас	legacy
нызамлы	legal
аңыз	legend
нызамлы	legit
бос ўақыт	leisure
қарызға бериў	lend
узынлық	length
аз	less
сабақ	lesson
рухсат бериў	let
хат	letter
салат жапырағы	lettuce
дәреже	level
нәтийжели пайдаланыў	leverage
қарыздарлық	liability
китапхана	library
жалаў	lick
жалған	lie
алдаў	lie
өтирик	lies
ѳмир	life
лифт	lift
көтериў	lift
жарықлық	light
жарық	light
жарытыў	light
шақмақ	lightning
унатыў	like
мүмкин	likely
уқсас түрде	likewise
сызық	line
Лингала	Lingala
силтеме	link
арыслан	lion
суйық	liquid
дизим	list
тыңлаў	listen
еситиў	listening
туўра мәнисинде	literally
әдебият	literature
шығынды	litter
киши	little
жанлы	live
жасаў	live
баўыр	liver
жасайды	lives
жанлы	living
мийманхана	living room
кесиртке	lizard
жүклеў	load
батон	loaf
қарыз	loan
жергиликли	local
жайласыў орны	location
қулып	lock
карантин	lockdown
дизимге алыў	log
ха-ха	lol
жалғыз	lonely
узын	long
көптен берли көриспедик	long time no see
кѳринис	look
қараў	look
цикл	loop
шешиў	loose
кең	loose
ийем	lord
жойтыў	lose
жоғалтыў	loss
жоғалған	lost
партия	lot
бәлент даўыс	loud
дем алыў бөлмеси	lounge
сүйиў	love
муҳаббат	love
сизди суйемен	love you
сүйкимли	lovely
тѳменге	low
төменги	lower
садық	loyal
садықлық	loyalty
сәтлилик	luck
cәтли	lucky
Луганда	Luganda
жүк	luggage
усақ	lump
түслик	lunch
өкпе	lungs
люкс	luxury
жалған	lying
үскене	machine
ойсыз	mad
ханым	madam
жасалған	made
журнал	magazine
саўлатлы	magnificent
хызметкер ҳаял	maid
тийкарғы	main
күтим бериў	maintain
оңлаў	maintenance
Маитили	Maithili
қәнигелик	major
ири	major
көпшилик	majority
жасаў	make
косметика	make up
еркек	male
саўда орайы	mall
адам	man
басқарыў	manage
басқарыў	management
басқарыўшы	manager
мәжбүрий	mandatory
декларация	manifest
басқарыў	manipulate
минез	manner
қолланба	manual
кѳп	many
жасыңызға жас қосылсын	many many happy returns of the day
март	march
маржа	margin
базар	market
турмыс	marriage
турмысқа шыққан	married
маска	mask
масса	mass
жүдә үлкен	massive
меңгериў	master
сәйкес келиў	match
сәйкеслик	match
достым	mate
материал	material
математика	math
әҳмийетли болыў	matter
мәселе	matter
кәмалға жеткен	maturity
қыз бала	may
мүмкин	maybe
мени	me
мен де	me too
ас	meal
аңлатыў	mean
орташа	mean
мәнис	meaning
қурал	means
нәзерде тутылған	meant
усы ўақыт аралығында	meanwhile
ѳлшеў	measure
илажлар	measures
гѳш	meat
медициналық	medical
дәри	medicine
медитация	meditation
орташа	medium
ушырасыў	meet
жыйналыс	meeting
Мейтейлон	Meiteilon
ериў	melt
естеликлер	memories
яд	memory
ақылый	mental
нәзерде тутыў	mention
атап өтилген	mentioned
устаз	mentor
саўдагер	merchant
рейим	mercy
зорға	merely
рождество менен	merry christmas
тәртипсиз	mess
хабарнама	message
патас	messy
металл	metal
метод	method
тышқанлар	mice
орта	middle
ярым түн	midnight
мүмкин еди	might
жеңил	mild
жетискенлик	milestone
әскерий	military
сүт	milk
миллион	million
итибар бериў	mind
ой	mind
ой-пикир	mindset
шахта	mine
меники	mine
кесент етиў	mingle
әҳмийетсиз	minor
минут	minute
минут	minutes
кәрамат	miracle
айна	mirror
аралас	miscellaneous
тентек	mischievous
бийшара	miserable
уўайым	misery
ѳткерип жибериў	miss
сизди сағындым	miss you
жоқ болған	missing
миссия	mission
думан	mist
қәте	mistake
Мизо	Mizo
мобиль телефон	mobile
масқаралаў	mock
модель	model
жумсартыў	moderate
орташа	moderate
заманагөй	modern
кемтар	modest
ызғарлаў	moist
ызғарлық	moisture
қәлип	mold
форма шығарыў	mold
қал	mole
апа	mom
мәўрит	moment
дүйшемби	monday
ақша	money
монитор	monitor
маймыл	monkey
ай	month
кейпият	mood
кеўил-кейпиятлы	moody
ай	moon
этикалық	moral
кѳбирек	more
қала берсе	moreover
азан	morning
ипотека	mortgage
кѳпшилик	most
көбинше	mostly
ана	mother
қыймылды	motion
мотивация	motivation
таў	mountain
тышқан	mouse
аўыз	mouth
қыймылдаў	move
ҳәрекет	movement
кинофильм	movie
ханым	mrs
көп	much
ылай	mud
кружка	mug
булшық ет	muscle
музей	museum
замаррық	mushroom
музыка	music
шәртлилик	must
үнсиз	mute
өз-ара	mutual
мениң	my
әзийзим	My dear
достым	my friend
Мениң ҳаўа кемем жылан балыққа толған	My hovercraft is full of eels
мениң муҳаббатым	my love
мениң атым	my name is
жаным менен	my pleasure
өзим	myself
сырлы	mysterious
сыр	mystery
аңыз	myth
шеге	nail
тәжирийбесиз	naive
исим	name
баянлама	narrative
тар	narrow
жеркенишли	nasty
миллий	national
миллет	nationality
жергиликли	native
тәбийий	natural
тәбият	nature
кеўил айныў	nausea
қасында	near
усы әтирапта	nearby
дерлик	nearly
таза	neat
зәрүр	necessary
мойын	neck
шынжырша	necklace
мүтәж болыў	need
мүтәжлик	need
унамсыз	negative
итибарға алмаў	neglect
додалаў	negotiate
қоңсы	neighbor
қоңсы-қоба	neighborhood
жийен	nephew
ақыллы	nerd
тынышсыз	nervous
уя	nest
сетка	net
байланыс	network
нейтрал	neutral
ҳешқашан	never
тоқтамаң	never give up
итибар бермең	never mind
итибар бермең	nevermind
сондай болса да	nevertheless
таза	new
жаңалық	news
кейинги	next
жанында	next to
зор	nice
танысқанымнан қуўанышлыман	nice to meet you
жийен	niece
түн	night
қорқынышлы түс	nightmare
тоғыз	nine
он тоғыз	nineteen
тоқсан	ninety
Яқ	No
машқала емес	no problem
ҳешқашан	no way
ҳешким	nobody
шаўқым	noise
шаўқымлы	noisy
ҳешқайсысы	none
түс	noon
яқ	nope
нормал	normal
арқа	north
мурын	nose
ностальгия	nostalgic
емес	not
арзымайды	not at all
жаман емес	not bad
Ҳәзир емес	Not now
еле емес	not yet
жазып қойыў	note
жазып алынған	noted
ҳеш нәрсе	nothing
байқаў	notice
байқаған	noticed
атлық	noun
атлықлар	nouns
роман	novel
ноябрь	november
ҳәзир	now
ҳәзирги күнде	nowadays
унамсыз жағдай	nuisance
ноль	null
лал болған	numb
номер	number
мийирбийке	nurse
ғоза	nut
аўынан өтириў	nutmeg
азықлық	nutrition
ғарғыс	oath
семизлик	obesity
бойсыныў	obey
қарсылық билдириў	object
ўазыйпа	objective
миннетлеме	obligation
қараңғылық	obscure
гүзетиў	observation
гүзетиў	observe
жин ийелеген	obsessed
жин ийелеген	obsession
гөнерген	obsolete
тосық	obstacle
ерисиў	obtain
ерисилген	obtained
кѳринип турған	obvious
анық кѳринип турған	obviously
гейде	occasionally
кәсип	occupation
ийеленген	occupied
жүз бериў	occur
жүз берди	occurred
жүз береди	occurs
океан	ocean
октябрь	october
тақ	odd
үстинлик	odds
әлбетте	of course
ѳшик	off
агрессив	offensive
усыныс етиў	offer
усыныс	offer
офис	office
рәсмий	official
тез-тез	often
Ўаҳ	Oh
ҳаў солай ма	oh really
май	oil
яқшы	ok
яқшы, әзийзим	ok dear
яқшы, жаным	ok honey
яқшы, мухаббатым	ok my love
яқшы	okay
яқшы, жаным	okay baby
болады, әзийзим	okay dear
яқшы, әзизим	okay honey
яқшы, муҳаббатым	okay my love
ески	old
үстине	on
бир мәрте	once
бир	one
бир тил ҳешқашан жетерли емес	one language is never enough
пияз	onion
онлайн	online
тек	only
ашық	open
операция	operation
пикир	opinion
имканиятлар	opportunities
имканият	opportunity
қарама қарсы	opposite
оптимист	optimistic
таңлаў варианты	option
шәрт болмаған	optional
ямаса	or
апельсин	orange
қызғыш сары	orange
тәртип	order
тәртипке салыў	order
әдеттеги	ordinary
шөлкем	organization
бағдар	orientation
келип шығыўы	origin
түп	original
Оромо	Oromo
жетим	orphan
басқа	other
болмаса	otherwise
бизлердиң	our
Бизиң ўазыйпамыз: ҳәммениң барлық жерде дүньядағы басқа тилде сөйлеўшилерди түсине алыўын ҳәм өзлериниң ой-пикирин оларға түсиндире алыўын тәмийинлеў.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Бизиң ўазыйпамыз: дүнья мағлыўматларын тәртипке салыў ҳәм олардан ҳәмме пайдалана алыў мүмкиншилигин жаратыў ҳәм пайдалы етиў	Our mission: to organize the world's information and make it universally accessible and useful.
тысқарыға	out
нәтийже	outcome
кийим	outfit
ашық адам	outgoing
бөлистириў орны	outlet
реже	outline
сырты	outside
әмелге асырылмаған	outstanding
духовка	oven
үстинен	over
сол тәрепте	over there
улыўма	overall
жеңип өтиў	overcome
көп ойлаў	overthinking
ақылдан азған	overwhelmed
ҳәдден зыят	overwhelming
қарыздар болыў	owe
байыўлы	owl
жеке	own
ийелик етиў	own
ийеси	owner
өгиз	ox
адым узынлағы	pace
ораў	pack
топлам	package
төлемли	paid
аўырыў	pain
бояў	paint
бояў	painting
жуп	pair
ағарып кеткен	pale
алақан	palm
таба	pan
пандемия	pandemic
ҳаўлығыў	panic
шалбар	pants
қағаз	paper
жәннет	paradise
параллел	parallel
посылка	parcel
кеширим сораў	pardon
ата-ана	parents
парк	park
тоты	parrot
петрушка	parsley
бөлим	part
қатнасыў	participate
белгили	particular
әсиресе	particularly
партнёр	partner
зыяпат	party
ѳтиў	pass
үзинди	passage
өтти	passed
ғайрат	passion
қумар	passionate
пассив	passive
пароль	password
өткен	past
ләтте	patch
соқпақ	path
бийшара	pathetic
шыдам	patience
шыдамлы	patient
наўқас	patient
шаблон	pattern
иркилиў	pause
соқпақ	pavement
төлем	pay
төлем	payment
тынышлық	peace
тыныш	peaceful
шабдал	peach
шыңы	peak
алмурт	pear
горох	peas
өзгеше	peculiar
сидик	pee
cийиў	pee
қыршыў	peel
қатар	peer
қатарлары	peers
ручка	pen
қәлем	pencil
қалып турған	pending
адамлар	people
бурыш	pepper
аңлаў	perceive
түсиник	perception
минсиз	perfect
орынлаў	perform
орынлаў	performance
бәлким	perhaps
период	period
турақлы	permanent
рухсат	permission
рухсат	permit
ғайрат	perseverance
қайтпайтуғын	persistent
шахс	person
жеке	personal
индивидуал өзгешелик	personality
перспектива	perspective
изинен барыў	persuade
бузық адам	pervert
үй ҳайўаны	pet
фаза	phase
қубылыс	phenomenon
философия	philosophy
телефон	phone
сүўрет	photo
фраза	phrase
физикалық	physical
алыў	pick
жерден алыў	pick up
cүўрет	picture
бөлек	piece
бөлеклер	pieces
шошқа	pig
кептер	pigeon
қырынды	pile
көпшик	pillow
пилот	pilot
ушлы предмет	pin
ананас	pineapple
қызғылт рең	pink
ой жер	pit
даўыс бәлентлиги	pitch
рейим	pity
орын	place
қойыў	place
орынлар	places
бахытсызлық	plague
әпиўайы	plain
реже	plan
самолёт	plane
егислик	plant
егинлер	plants
тарелка	plate
платформа	platform
ойнаў	play
ойын	play
айтып турған	playing
жағымлы	pleasant
кеўилин шад етиў	please
ѳтиниш	please
қуўанышлы	pleased
рәҳәт	pleasure
ўәде бериў	pledge
көп	plenty
дүзиў	plot
вилка	plug
қәрели	plum
сантехник	plumber
көплик	plural
подкаст	podcast
поэма	poem
поэзия	poetry
ноқат	point
зәҳәр	poison
милиция	police
тәртип	policy
мүләйим	polite
ҳаўаны зыянлаў	pollution
көл	pond
көл	pool
үлкен дәрет	poop
жарлы	poor
поп	pop
белгили	popular
халық	population
шошқа гөши	pork
каша	porridge
порт	port
ҳалат	position
унамлы	positive
ийелик етиў	possess
ийелик	possession
ийелик	possessive
мүмкин	possible
пост	post
жәриялаў	post
қалдырыў	postpone
картошка	potato
потенциал	potential
фунт	pound
кәмбағаллық	poverty
күш	power
күшли	powerful
әмелий	practical
шынығыў	practice
мақтаў	praise
пранк	prank
сыйыныў	pray
баҳалы	precious
анық	precise
тап солай	precisely
болжаў	predict
абзал кѳриў	prefer
абзаллық	preference
жүкли	pregnant
исеним	prejudice
орынлар	premises
премиум	premium
таярлық	preparation
таярлаў	prepare
таярланған	prepared
предлог	preposition
бар болыў	presence
саўға	present
ҳәзирги	present
презентация	presentation
бәнт етип қойыў	preserve
президент	president
баспа сөз	press
басыў	press
басым	pressure
сыяқлы тутыў	pretend
жағымлы	pretty
әдеўир	pretty
алдын алыў	prevent
алдынғы	previous
олжа	prey
баҳа	price
мақтаныш	pride
руўханий	priest
дәслепки	primary
дәслепки	prime
мәлийка	princess
бас	principal
алдынғы	prior
үcтин болған	priority
түрме	prison
жеке	privacy
жеке	private
артықмашлық	privilege
приз	prize
итимал	probably
машқала	problem
процедура	procedure
даўам етиў	proceed
қайта ислеў	process
процесс	process
ислеп шығарыў	produce
өним	product
өндириў	production
профессия	profession
профессионал	professional
профиль	profile
пайда	profit
терең	profound
раўажланыў	progress
раўаж	progress
проект	project
анық көринип турған	prominent
ўәде	promise
ўәде бериў	promise
лаўазымын көтериў	promote
лаўазымы көтерилиў	promotion
еслетпе	prompt
бейим	prone
алмасықлар	pronouns
айтылыўы	pronunciation
дәлил	proof
дурыс	proper
мүлк	properly
қәсийетлери	properties
мүлк	property
усыныс	proposal
көзқарас	prospect
жайнап-жаснаў	prosperity
гүллеген	prosperous
қорғаў	protect
мақтаныў	proud
дәлиллеў	prove
тәмийинлеў	provide
егер сондай жағдайда	provided
провинция	province
тәмийнат	provision
ержетиў	puberty
жәмийетлик	public
тартыў	pull
қабақ	pumpkin
өз ўақтында	punctual
оқыўшы	pupil
сатып алыў	purchase
таза	pure
сыя рең	purple
мақсет	purpose
кошелёк	purse
умтылыў	pursue
умтылыў	pursuit
басыў	push
қойыў	put
диплом	qualification
сапа	quality
муғдар	quantity
карантинге алыў	quarantine
жәнжел	quarrel
жәнжеллесиў	quarrel
шерек	quarter
Кечуа	Quechua
ханшайым	queen
гомосексуалист	queer
сораў	query
сораў	question
нәўбетке турыў	queue
нәўбет	queue
шаққан	quick
тез	quickly
тыныш	quiet
жыллы көрпе	quilt
тоқтатыў	quit
толық	quite
әдеўир	quite
жумбақ	quiz
цитата	quotation
цитата	quote
сөзин келтириў	quote
тырнақша	quotes
қоян	rabbit
жарыс	race
қәҳәр	rage
жаўын	rain
кѳтериў	raise
кѳтерилиў	raise
өсирген	raised
жуўырды	ran
тосыннан	random
диапазон	range
тез	rapid
жүдә тезлик пенен	rapidly
кем ушырасатуғын	rare
гейде	rarely
таспа	rash
балпақ тышқан	rat
курс	rate
анығырағы	rather
қатнасы	ratio
ақылға сай	rational
жетилиспеген	raw
жетиў	reach
ерисилди	reached
реакция	reaction
оқыў	read
оқыў	reading
таяр	ready
ҳақыйқый	real
ҳақыйқат	reality
аңлаў	realize
түсинген	realized
жүдә	really
артқы бөлими	rear
себеп	reason
себепли	reasonable
еслеў	recall
чек	receipt
алыў	receive
