abandoned	आबुध्त
feeling	अनुभवति
feel	समनुभवतु
feet	पादौ
fee	शुल्कः
fellow	कापुरुष
fell	पतित
felt	अनुभूय
female	महिला
fence	वृति
fertile	उर्वर
festival	पर्वं
fetch	उपानी
fever	ज्वरः
fewer	ऊन
few	कतिपय
fiance	वर
fiction	कल्पना
field	क्षेत्रम्‌
fierce	प्रचण्ड
fifteen	पञ्चदश
fifty	पञ्चाशा
fighting	युधि
fight	युध्
figure out	वर्पणेहु
figure	रूप
file	संचिका
filled	पूरित
fill	पूरण
film	चलचित्रं
filthy	मलिष्ठ
finally	अन्ते
finance	वित्त
financial	वित्तीय
find out	समागम्
find	अन्वेषय
fine	दण्डः
finger	अङ्गुली
finished	सम्पूर्ण
finish	समापन
fire	अग्निः
firm	प्रतिष्ठान
first name	प्रथम नाम्ना
first	प्रथमः
fish	मीन
fit	योग्यः
five	पंचं
fixed	युक्त
fix	बध्नाति
flag	ध्वजा
flash	प्रस्फुरण
flat	समतलम्‌
flawless	त्रुटिहीन
flaw	भित्ति
flee	धाव्
flesh	मांस
flew	उड्डीय
flexible	लोचनीय
flex	नम्
flight	पात
flip	पर्यस्
flirting	विलसति
flirt	लल्
float	तारण
flood	प्लावन
floor	तलः
flour	पिष्टम्
flower	पुष्पं
flow	प्रवाहः
fluently	धारावर्तेन
fluent	वाक्पटु
fluffy	उपहतक
fluid	द्रव
flu	आम्भस
fly	उड्डयते
focus	केंद्रबिन्दुः
foggy	नभस्य
fog	धूमिका
fold	पुट
folks	गणः
following	अनुसरण
follow up	अनुगच्छ
follow	अनुशीलनं
food	आहारः
foolish	मूर्खतया
fool	मूर्खः
football	फुटबालं
foot	पादः
forbidden	प्रतिबंधित
force	बल
forecast	पूर्वानुमान
forehead	ललाट
foreign	विदेशः
forest	वनः
forever	सदा
For example	उदाहरणतया
forget	विस्मृत
forgive	वहते
forgot	विस्मृत
for instance	क्षणिक
fork	शूलिका
formal	औपचारिक
former	पूर्व
form	आवेदनपत्रं
fortunately	सौभाग्यतया
fortune	भाग्य
forty-two	द्विचत्वारिंशत्
forty	चत्वारिंशत्
forward	अग्रतः
for you	तुभ्यं
for	कृते
foster	लल्
fought	आह्वे
foundation	प्रतिष्ठिका
found	प्राप्तः
fourteen	चतुर्दश
four	चत्वारः
fox	लोमशा
fragile	खण्ड्य
framework	प्रारूप
frame	आबन्ध
fraud	कपट
freak	मनोलौल्य
freedom	स्वतंत्रता
freeze	स्थग्
free	निःशुल्कः
frequency	आवृत्ती
frequently	भृशः
frequent	बारंबार
fresh	प्रत्यग्र
friday	शुक्रवारं
fridge	प्रशीतक
friendly	मैत्रेय
friendship	मित्रता
friends	मित्राः
friend	मित्रम्‌
frightened	भयभीत
frightening	भयानकः
frog	मंडूक:
from	इत्यस्मात्‌
front	पुरतः
frozen	संशीत
fruit	फलं
frustrated	निराश
fuel	ईंधन
Fulfulde	फुलफुल्दे
full	पूर्ण
function	नियोग
fundamental	मौलिक
funeral	अन्त्येष्टि
funny	विलक्षणम्‌
fun	परिहासः
furious	क्रुद्ध
furniture	उपस्कर
furthermore	भूयस्
further	अग्रे
fur	लोमचर्मन्
future	भविष्य
gain	प्राप्ति
game	क्रीडा
gap	अंतर
garage	यानशाला
garbage	अवकर
garden	उद्यान
garlic	लशुन
gate	द्वार
gathering	मेलन
gather	स्खति
gauge	तर्कय
gave	दत्तवती
gear	संयोक्त
gender	लिंग
generally	सामान्यतया
general	सामान्य
generate	उद्- पद्
generation	पीढ़ी
generous	उदारः
genius	कुशाग्र
genre	मातुर्
gentle	मृदुल
genuine	प्रामाणिक
gesture	व्यंजकाः
get dressed	विवस्त्रायते
getting	लाभ
get up	जाग्रत्
get well soon	शीघ्रेण कुशलं भव
get	प्राप्नोतु
ghosting	द्वय-कवते
ghost	प्रेत
giant	दैत्याकार
gift	उपहारं
ginger	आर्द्रक
girlfriend	महिलामित्र
girl	बालिका
given	प्रदत्त
give up	त्यजति
give	देहि
glad	प्रसन्नः
glance	प्रभा
glasses	चषकाः
glass	चषक
glimpse	आभासाः
global	वैश्विक
gloomy	विषादपूर्ण
gloves	हस्तत्राणम्
glow up	रञ्ज्
glow	शुच्
glue	लेप
go ahead	अग्रसर
goals	लक्षानि
goal	ध्येय
goat	अजा
go away	दूरे गच्छ
god bless you	श्वस्ति
god	भगवान
goes	प्रस्थान
going to	तद्.गच्छति
going	गच्छति
gold	स्वर्णं
gone	गतः
gonna	गच्छेत्
good afternoon	नमस्कारः
good bye	पुनर्दर्शनाय
goodbye	पुनर्मिलामः
good day	शुभ दिवस
good evening	शुभसन्ध्या
good job	श्रेष्ठकार्य
good looking	सुदृश्य
good luck	शुभकामना
good morning my love	सुप्रभातं मम प्रिय
good morning	सुप्रभातम्‌
good night	शुभरात्रि
goodnight	शुभरात्री
goods	वस्तुनि
good	शोभन
Google Translate	गूगल अनुवादं
Google	गूगल
goose	लक्षणा
goo	गू
gorgeous	अतिशोभनः
gossip	प्रजल्प
got it	अयं प्राप्तः
go to bed	शय्यां गच्छ
got	लब्धः
government	शासन
go	गच्छ
grab	समालभते
grade	वर्ग
gradually	क्रमिकवार
graduate	स्नातक
grain	अन्न
granted	अनुदात्त
grant	अनुदान
grapes	द्राक्षा
grasp	गृह्णति
grass	तृणं
grateful	कृतज्ञ
gratitude	कृतवेदित्व
grave	गंभीर
gray	धूसर
great	महान्‌
greedy	लोलुप
greed	लोलुपता
green	हरित
greetings	अभिवादन
greeting	शुभकामना
greet	अभि- वन्द्
grey	धूसर
grid	गृध्र
grief	दुःख
grind	घृष्
grip	वाराङ्ग
grocery	भक्ष्यापणः
groom	वधूवरौ
gross	सकल
ground	भूमि
group	समूह
growth	वृद्धि
grow	परिवर्धते
grumpy	परुष
Guarani	गुआरानी
guarantee	बंधक
guard	रक्षक
guess	अनुमानम्‌
guest	अतिथि
guidance	मार्गदर्शन
guide	मार्गदर्शकः
guilty	दोषी
guys	जन
guy	व्यक्ति
gym	व्यायामशाला
habitat	अभ्यास
habit	अभ्यास
had	आसीत्‌
hail	सभागृह
hair	केशः
half	अर्ध
hall	सभागृह
handle	वारङ्गः
handsome	रुचिरः
hand	हस्त
hang out	आतिष्ठते
hang	जडीभवति
happened	भूतः
happen	भवति
happiness	प्रसन्नता
happy birthday to you	जन्मदिवस्य शुभकामना त्वां
happy birthday	शुभं जन्मदिनम्‌
happy new year	नववर्षस्य शुभाशयाः
happy	प्रसन्नः
hardly ever	कृच्छ्रेण कदापि
hardly	नैव
hard	रूक्षः
harmful	हानिकारक
harmony	संवादिता
harm	हानि
harsh	रुक्ष
harvest	सस्य
has	वा
hate	घृणा
have a good day	शुभ दिवसं भवेत
have a nice day	शुभ दिनं
have breakfast	प्रातराशं कुरु
have fun	अश्
have you eaten	किं भवान् खादितवान्
have	अस्ति
having	त्वा
hazard	पणते
haze	धुंध
headache	शिरोवेदना
head	शिरः
healing	भाविन्
healthy	स्वस्थः
health	आरोग्यम्‌
heal	उपशम्यति
heard	श्रुत
heart	हृदयम्‌
hear	शृणोतु
heat	उष्णता
heaven	स्वर्गः
heavy	भारयुक्तम्‌
hectic	प्रलेप
he has	तस्य
height	औनत्यम्‌
heir	उत्तराधिकारिन्
heist	मुष्
he is	सः अस्ति
held	धृतः
hello dear	हे प्रिये
hello how are you doing	भवान् किं करोति
hello how are you	नमस्ते त्वं कथं असि
Hello	नमस्ते
hell	नरकः
helmet	शिरस्त्राण
helpful	सहायक
help	साहाय्यम्‌
hence	अतः
herd	समूहं
here	अत्र
heritage	परम्परा
her	तस्याः
hesitate	द्वंद्वी भवति
Hey	भो
he	सः
hidden	अदृष्ट
hide	गोपयतु
hierarchy	पदानुक्रमं
highlight	प्रमुखाकृष्टि
high	उच्चैः
hi how are you	हे त्वं किदं असि
hike	आरोहण
hiking	भ्रमपादिका
hilarious	रंजक
hill	चोटी
him	तस्य
hint	संकेत
hips	श्रोणिका
hip	नितंब
hire	भृति
hiring	सर्जन
history	इतिहास
his	तस्य
Hi there	ही सर्वे
hit	ताडनम्‌
Hi	नमस्कार
Hmm	आं
hobby	अभिरुचि
hold on	ग्रह्
hold	गृह्णातु
hole	छिद्र
holiday	अवकाशदिनं
hollow	कोटर
homework	गृहकार्य
home	गृहम्‌
honestly	सारल्येन
honest	सत्यरतः
Honey	मधु
honor	सम्मान
hood	फणा
hook	आलम्ब
hopefully	संभवतः
hopeless	निराश
hope	आशा
hop	प्लु
horizontal	क्षैतिज
horn	शृंग
horrible	भयंकरं
horror	भय
horse	घोटकः
hospitality	सत्कार
hospital	चिकित्सालय
hostile	अभिमुखम्
host	निमन्त्रकः
hotel	वसतिगृह
hot	उष्णः
hours	घण्टानः
hour	घटकः
household	गार्ह
house	गृहम्‌
how about you	कति त्वयि विषये
how are you doing today	अद्य भवान्‌ किं करोति
how are you doing	भवान्‌ कथम् असि
how are you today	कथम्स्ति भवान्
how are you	भवान्‌ कथमसि
how do you do	त्वं कथं करोसि
however	तथापि
how is	कथं
how many	कति
how much	कियत्‌
how often	कतिवरम्
how old are you	भवतः वयः कियत्‌
how was your day	त्वं कथम् असि
how was your night	तव रात्री किदं
how	कथम्‌
hubby	पतिदेव
hub	कोश
huge	विशालः
hug	आलिङ्गनम्‌
human	मानव
humble	विनम्रः
humidity	आर्द्रता
humid	प्रक्लिन्न
hundred	शतकः
hungry	बुभुक्षित
hunt	आखेटं
hurricane	प्रभंजन
hurry up	शिघ्रेन कुरु
hurry	त्वरा
hurt	परिक्षतः
husband	भर्ता
hustle	हुष्टुत
hut	कुटि
hygiene	आरोग्य
I am fine	अहं कुशलं अस्मि
I am	अहमस्मि
I can't	अहं न शक्नोमि
I can	अहं शक्नोमि
ice cream	पयोहिम
ice	हिम
ideal	आदर्शः
idea	विचारं
identical	संरूप
identify	समीकुरुते
identity	चिह्नं
idiot	मूर्खः
idle	आलम
I do not know	अहं जानामि मा
I do not understand	मया विदते मा
I don’t know	अहं जानामि मा
I don't know	अहं न जानामि
I don't understand what you mean	अहं विदामि मा त्वं किं कथ्यसि
I don't understand you	अहं त्वां बोधगम्ये अक्षमास्मि
I don't understand	अहं न अवबोधयामि
I don’t understand	मया मा विदते
I don't	अहं मा कारोमि
I do	अहं कारोमि
if	यदि
ignore	उपेक्षा
i guess	अहं ऊहामि
I had	मम आसीत्
I have been	मया कृत्वा
I have	मम पार्श्वे अस्ति
I hope so	मम आशा तत्
I know	अहं जानामि
I like you	मया त्वां इच्छते
I like	मम प्रिय
illegal	अवैध
illness	रोग
ill	रुग्णः
Ilocano	इलोकानो
I love my big brother	अहं माम् अग्रजां स्नेहयामि
I love my big sister	अहं माम् अग्रजां स्नेहयामि
I love my father	अहं माम् पितरं स्नेहयामि
I love my little brother	अहं माम् तनुजं स्नेहयामि
I love my little sister	अहं माम् तनुजां स्नेह्ययामि
I love my mother	अहं माम् मातरं स्नीह्यामि
I love you so much	अहं त्वां बहु कामयामि
I love you too	मया त्वां अपि स्नीहयते
I love you	त्वां कामयामि
I love	अहं स्नीह्यामि
image	छवि
imagine	गणयति
I mean	ममार्थः
I'm fine	अहं शोभनः अस्मि
I'm good	अहं उत्तमोस्मि
I'm here	अहं यत्र अस्मि
I miss you so much	अहं त्वां विलक्षी करोमि
I miss you	त्वद्विरहविह्वलः अस्मि
immediately	झटिति
immediate	तुरत
immense	अविमित
impact	प्रभावः
impatient	अधीर
implement	हेति
important	महत्वपूर्णः
import	आयात
impose	आ- सज्
impossible	असंभवः
impression	छवि
impressive	चित्ताकर्षकः
impress	आदधाति
improvement	प्रगति
improve	विशोधयतु
I'm sorry	क्षम्यताम्‌ मा
I’m	अहं अस्मि
I'm	अहमस्मि
in addition	अतिरिक्ते
inappropriate	अनुचितं
incentive	प्रोत्साहन
incident	प्रसंग
include	निहितः
including	सहित
income	आय
inconvenience	असुविधा
increased	वृद्ध
increase	वर्धनं करोतु
incredible	अविश्वसनीय
indeed	नूनम्‌
independent	स्वाधीन
India	भारत
indicate	संकेतन
indigenous	देशज
individual	व्यक्तिगत
industry	उद्योग
inevitable	अपरिहार्यं
In fact	वस्तुतः
infant	शिशु
infection	संक्रमण
infinity	अनंतं
inflammation	जलन
inflation	अपमूल्यन
influence	प्रभावः
information	सूचना
inform	नि- विद्
in front of	पुरतः
ingredients	तत्व
inheritance	उत्तराधिकार
initial	आरंभिक
initiative	आरम्भः
injured	रुग्ण
injury	क्षत
innocent	निर्दोषः
innovation	नवोन्मेषण
in order to	अर्थ
inquiry	पृच्छा
insane	उन्मत्त
insect	कीट:
insecure	असुरक्षित
insert	युज्
inside	अन्तः
insight	अंतर्दृष्टि
insist	निर्बन्ध्
insomnia	अनिद्रा
inspiration	प्रोत्साहन
inspire	प्रेरय
install	प्रतिस्था
instance	क्षण
instant	क्षणिक
instead of	वितरणं
instead	तत्स्थाने
instructions	निर्देशाः
instrument	साधन
insult	अपमान
insurance	अभिरक्षा
intact	आबद्ध
integrity	शुद्धता
intellectual	बुद्धिजीवी
intelligence	चपलता
intelligent	चतुरः
intended	इंगित
intend	संकेतन
intense	तीव्र
intention	मति
interaction	परिचर्चा
interact	संवाद
interested	इच्छति
interesting	रुचिकरम्‌
interest	अभिरुचिः
interfere	उच्छिनत्ति
intermediate	अवान्तरम्
internal	आंतरिक
international	अन्तराष्ट्रिय
internship	अनिवार्य निवासी सेवा
interpreter	व्याख्याता
interpret	व्याख्याति
interrupt	व्यवधान
interview	साक्षात्कारं
intimate	अंतरंग
into	इत्यस्मिन्‌
introduce	पवर्तयति
introduction	आमुख
introvert	अंतर्मुखी
intuition	अंतरचेतना
invalid	अप्रतिषेध
inventory	वस्तुपरिसङ्ख्या
invent	उपज्ञा
investigate	परिनयति
invest	निवेश
invitation	आमंत्रण
invite	समाह्वे
invoice	बीजक
involved	आसक्तः
involve	निहित
in	इत्यस्मिन्‌
iron	लौह
I see	अहं पश्यामि
island	द्वीप
isolated	उपेक्षितः
issues	विषयाः
issue	निर्गमनम्‌
is	अस्ति
items	मदा :
item	वस्तु
I think	अहं चिंतयामि
it is	इदमस्ति
It's okay	सर्वोचित
it's ok	अयं अस्तु
it's	अयं अस्ति
its	अस्य
it was	एं आसीत्
it	इदम्‌
I understand	अहम्‌ अवगच्छामि
I want to see you	अहं त्वं पश्येयं
I want you	अहं त्वां विकाङ्क्षमि
I want	अहं इच्छामि
I was	अहम्‌ आसम्‌
I will	अहं करिष्यामि
I would be	अहं भवेत
I	अहम्‌
jacket	प्रावारकं
jail	कारावास
January	जनवरी
jar	कलश
jaw	हनु
jealous	मत्सरः
jerk	सङ्क्षोभ
jewelry	कर्णाभरन
job	कार्य
jogging	मन्दक्षावन
joint	संयुक्त
join	आबन्धम्
joke	व्यंग
journalist	पत्रकाराः
journey	यात्रा
joy	आनंदं
judge	न्यायाधीश
juice	फलरस
july	जुलाईमाह
jump	उत्प्लवन
june	जूनं माह
junk	तुच्छ
just do it	इममेव कुरु
justice	न्याय
justify	प्रमाणय्
just	इदानीम्‌
Kalaallisut	कलाल्लिसुत
keen	उत्सुक
keep it up	अनु- वृत्
keep	स्थापय
kept	रक्षित
kettle	पात्र
key	कुंजी
kick	पादप्रहार
kidding	कीदृश्
kidney	वृक्क
kids	बालकाः
kid	शिशु
kill	हन्
kinda	रुपेण
kindly	कृपया
kindness	औदार्य
kind	दयालु
king	राजा
kiss	चुंबन
kitchen	पाकशाला
kite	पतंगं
kitten	बिदालिका
knee	जानुक
knew	ज्ञात
knife	छुरिका
knight	डामर
knowledge	ज्ञानम्‌
known	ज्ञात
know	जानातु
Konkani	कोंकणी
Krio	क्रियो
label	नामपत्र
labor	श्रम
labour	श्रम
lack	विरहः
ladder	चरण
lady	स्त्री
laid	स्थापित
lake	सरोवरः
lamb	अजशिशु
lame	पुङ्गु
lamp	दीपकः
landscape	भूप्रदेश
land	भूः
language	भाषा
lap	उत्सङ्ग
large	बृहत्‌
last but not least	अंतिम किन्तु न्यूनतम मा
last name	अंतिम नाम्ना
last	अन्तिमः
lately	नव्यस्
later	कालान्तरे
latest	अद्यतन
late	विलम्बेन
latter	परवर्ती
laughing	हसति
laughter	हास्य
laugh	हासः
launch	प्रक्षेपनम्
laundry	लोणिका
lawn	दूर्वा
lawyer	अधिवक्ता
law	विधि
layer	स्तर
layout	प्रारूपं
lay	स्थापयति
lazy	आलसः
leader	नेता
lead	सीसम्‌
leaf	पर्ण
leak	स्रवति
lean	कृशः
leap	प्लुति
learning	शिक्षण
learn	जानातु
lease	भाट
least	न्यूनतम
leather	चर्म
leaves	पत्राणि
leave	त्यजतु
led	अग्रसर
left	वामः
legacy	संप्रत्ति
legal	वैधानिक
legend	आख्यान
legit	वैधानिक
leg	टङ्का
leisure	अवकाशः
lend	प्रमुञ्चते
length	दैर्घ्यम्‌
lesson	पाठ
less	न्यूनम्‌
letter	पत्रम्
lettuce	शाकभेदः
let	अनुमतिं करोतु
level	स्तर
leverage	तुलायन्त्रयोगः
liability	देय
library	पुस्तकालय
lick	चम्
lies	असत्य
lie	असत्यम्‌
life	जीवनम्‌
lift	उन्नयनी
lightning	गाज
light	प्रकाशः
likely	संभवतः
likewise	अथो
like	इव
line	पंक्ति
Lingala	लिंगाला
link	सम्बन्ध
lion	सिंहः
liquid	द्रव
listening	श्राव्य
listen	शृणोतु
list	सूची
literally	अक्षरशः
literature	साहित्यं
litter	इत्य
little	किञ्चित्‌ एव
liver	यकृत
lives	जीवति
live	निवसति
living room	आवासीय कक्षं
living	आजीविका
lizard	गृहगोदिका
load	भार
loaf	उण्डेरक
loan	ऋणं
local	स्थानिक
location	स्थानीय
lockdown	अपिदधन
lock	ताल
log	वृत्त
lonely	एकांततः
long time no see	बहुकालम् अनादृश्यं
long	दीर्घम्‌
look	अवलोकनम्‌
loop	परिक्रम
loose	मुक्त
lord	विधाता
lose	पराजयते
loss	हानि
lost	लुप्तः
lot	विपुलं
loud	उत्ताल
lounge	विश्रांतिका
lovely	सुन्दरः
love you	त्वां स्निह्यामि
love	स्नेहः
lower	अवच
low	न्यूनम्‌
loyalty	प्रभुभक्ति
loyal	निष्ठावान्
lucky	भाग्यशाली
luck	भाग्य
Luganda	लुगांडा
luggage	परिच्छद
lump	घन
lunch	मध्याह्नभोजनम्‌
lungs	फुफ्फुस
luxury	विलास
lying	असत्यभाषणम्
machine	यंत्रं
madam	महोदया
made	निर्मिता
mad	मत्तः
magazine	पत्रिका
magnificent	भव्य
maid	कना
maintain	अनुरक्षयतु
maintenance	अनुरक्षणम्‌
main	मुख्यः
Maithili	मैथिली
majority	बहुमत
major	प्रधानः
make up	रचयति
make	निर्मीयताम्‌
male	पुरुषः
mall	विपणि
management	प्रबन्धनम्‌
manager	प्रबंधकः
manage	प्रबंधनं
mandatory	अनिवार्यः
manifest	प्रत्यक्ष
manipulate	उपरञ्जयति
manner	शिष्टाचार
manual	शास्त्र
many many happy returns of the day	दिवसस्य बहुधा प्रत्याय
many	बहवः
man	नरः
march	प्रयाण
margin	सीमन्
market	विपणि
marriage	पाणिग्रहणम्
married	विवाहित
mask	मुखावरण
massive	स्थूल
mass	घन
master	निपुण
match	मेलनम्‌
material	पदार्थ
mate	मित्र
math	गणित
matter	विषयः
maturity	परिपक्वता
maybe	भवेत्‌
may	स्यात्‌
meal	भोजन
meaning	अर्थ
means	साधनानि
meant	अर्थ
meanwhile	मध्यांतरे
mean	अर्थः
measures	मापन
measure	मापनं करोतु
meat	मांसं
medical	चिकित्सीय
medicine	चिकित्सा
meditation	ध्यानं
medium	मध्यम
meeting	मेलनम्‌
meet	मेलनम्‌
Meiteilon	मैतैलॉन
melt	द्रवित
memories	स्मृत्याम्
memory	स्मृति
mental	मानसिक
mentioned	उल्लेखित
mention	उल्लेख
mentor	मार्गदर्शक
merchant	वणिक्‌
mercy	दया
merely	नाममात्रेण
merry christmas	शुभ क्रिसमस
message	सन्देशः
messy	अत्यवस्था
mess	भोजनालयः
metal	धातु:
method	प्रक्रिया
me too	अहमपि
me	अहम्‌
mice	मुषका
middle	मध्यं
midnight	मध्यरात्री
might	विक्रमः
mild	मृदु
milestone	क्रोशमापनपाषाण
military	सैन्यदल
milk	दुग्धं
million	प्रयुतहर्ट्स्
mindset	मानसिकता
mind	मस्तिष्कम्‌
mine	मदीयः
mingle	अभिश्री
minor	बाल
minutes	पन्चनिमेषः
minute	क्षणं
miracle	अचंभा
mirror	दर्पण
miscellaneous	विविध
mischievous	हिंस्र
miserable	हताशः
misery	अभूति
missing	असमेत
mission	नियोग
miss you	त्वद्विरहविह्वलः
miss	भ्रमः
mistake	त्रुटि
mist	तुहिनं
Mizo	मिजो
mobile	निष्तन्त्री
mock	हस्
model	प्रतिकृति
moderate	सन्तुलित
modern	आधुनिक
modest	शालीन
moisture	आर्द्रता
moist	क्लदीवत्
mold	आचारण
mole	न्यच्छ
moment	क्षण
mom	माता
monday	सोमवारं
money	मुद्रा
monitor	नियंत्रण
monkey	वानरः
month	माह
moody	उदासीन
mood	मनोदशा
moon	शशांक
moral	नैतिक
moreover	भूयस्
more	अधिकः
morning	प्रातः
mortgage	मौर्व
mostly	अधिकतया
most	अधिकतमः
mother	माता
motion	गति
motivation	प्रयुक्ति
mountain	पर्वत
mouse	मूषकः
mouth	मुख
movement	आन्दोलन
move	चलनम्
movie	चलचित्रं
mrs	महोदया
much	अति
mud	पंक
mug	चषकः
muscle	मांसपेशी
museum	संग्रहालय
mushroom	मशरूमं
music	संगीतं
must	अवश्यम्‌
mute	मूक
mutual	पारस्परिक
My dear	मम प्रिये
my friend	मम मित्रं
My hovercraft is full of eels	मूर्खतया अपरिचितभासां वदन
my love	मम स्नेहः
my name is	मम नाम अस्ति
my pleasure	मम आनंदं
myself	माम्
mysterious	रहस्यमयी
mystery	रहस्य:
myth	मिथकः
my	मम
nail	कीलं
naive	बलिश
name	नामः
narrative	प्राक्कथन
narrow	सङ्कीर्णः
nasty	विरूपकः
nationality	राष्ट्रीय
national	राष्ट्रीय
native	देशज
natural	प्राकृतिक
nature	प्रकृति
nausea	वमनेच्छा
nearby	निकटे
nearly	सन्निकट
near	समीपः
neat	सुव्यस्थितः
necessary	आवश्यकम्‌
necklace	कर्णहार
neck	ग्रीवा
need	आवश्यकता
negative	नकारात्मक
neglect	उपेक्षा
negotiate	परक्रामणं
neighborhood	प्रतिवेशिन्
neighbor	प्रतिवेशी
neither	न वा
nephew	भ्रातृ सूतः
nerd	नैर्धन्य
nervous	अधीरः
nest	संनिवास
network	जाल
net	जालं
neutral	तटस्थ
never give up	मा त्यज़्
never mind	चिंतां मास्तु
nevermind	न कदाचित्
nevertheless	तथापि
never	कदापि न
news	समाचारं
new	नूतनम्‌
next to	अग्रिम
next	अग्रिम
nice to meet you	मेलनेन बहु सन्तोषः
nice	शोभनम्‌
niece	भातृजा
nightmare	दुःस्वप्न
night	निशा
nineteen	एकोनविम्शति
ninety	नवति
nine	नवं
nobody	अविदितम्
noise	कोलाहलं
noisy	शब्दवत्
none	न कश्चित्
noon	अपराह्न
nope	न
no problem	कापि समस्या न
normal	सामान्य
north	उत्तर
nor	नापि
nose	नासिका
nostalgic	स्मृति-रत
not at all	नातीव
not bad	दुर्गुण: न
noted	विश्रुतः
note	टीका
nothing	किमपि न
noticed	सूचित
notice	सूचना
Not now	न खलु
not yet	अत्र न
not	नहि
nouns	संज्ञानाम्
noun	संज्ञा
novel	उपन्यास
november	नवंबर: माह
nowadays	इदानीम्
no way	पथं ना
now	अधुना
No	नहि
nuisance	अनुत्रास
null	लुप्तमूल्य
number	संख्या
numb	जड
nurse	उपचर
nutmeg	दुर्गुण: न
nutrition	पोषण
nut	शलाटु
oath	शपथ
obesity	स्थूलता
obey	अनुपालन
objective	वस्तुनिष्ठ
object	वस्तु
obligation	कर्तव्यता
obscure	दुर्बुद्ध
observation	दर्शनं
observe	अवलोकयति
obsessed	अभिभूतः
obsession	दुराग्रह
obsolete	विकट
obstacle	अवरोध
obtained	प्राप्त
obtain	प्राप्नोतु
obviously	सुस्पष्टम्‌
obvious	प्रत्यक्षं
occasionally	कादाचित्
occupation	उपजीविका
occupied	प्रविष्ट
occurred	भूतः
occurs	भवति
occur	सम्भवते
ocean	समुद्रं
october	अक्टूबर माह
odds	विभिन्नता
odd	विषमः
of course	निश्चयेन
offensive	आक्रामक
offer	प्रस्तावः
office	कार्यालयं
official	कार्यालययी
off	दूरे
often	बहुशः
of	इत्यस्य
oh really	भो वास्तविक
Oh	अहो
oil	तेलं
okay baby	तथास्तु शीशु
okay dear	अहो प्रिय
okay honey	अस्तु प्रिये
okay my love	अस्तु मम प्रिये
okay	अस्तु
ok dear	अस्तु प्रिये
ok honey	यथोचित मधु
ok my love	अहो मम प्रिय
ok	अस्तु
old	वृद्धः
once	एकदा
one language is never enough	एकं भाषा कदापि पर्याप्तं मा
one	एकम्‌
onion	पलाण्डु
online	लब्धसम्पर्क
only	केवलम्‌
on	इत्युपरि
open	उद्घाटित
operation	संचालन
opinion	अभिप्रायः
opportunities	अवसराः
opportunity	अवसरः
opposite	विपरीतः
optimistic	आशावादी
optional	वैकल्पिक
option	विकल्प
orange	नारङ्ग
order	आदेशः
ordinary	सामान्य
organization	संघठनं
orientation	आभिमुख्य
original	मूल
origin	श्रोतं
Oromo	ऑरोमो
orphan	अनाथः
or	वा
otherwise	अन्यथा
other	इतर
ought	भाविन्
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	आस्मान् ध्येयं: प्रकाराय प्रत्येकं, सर्वत्र विश्वं आचेतनार्थ स्वयमेव उदाहराय च।
Our mission: to organize the world's information and make it universally accessible and useful.	आस्मान् ध्येयं:विश्वस्य सूचना एकंकृत्वा सार्वभौमिकरूपेण अभिगम्येतु च।
our	अस्माकम्‌
outcome	परिणाम
outfit	संगठन
outgoing	बहिर्गामी
outlet	निर्गम
outline	रूपरेखा
outside	बहिः
outstanding	उत्कृष्ट
out	बहिः
oven	आपाका
overall	सकलं
overcome	अतिक्रामति
over there	तत्रेण
overthinking	अतिचिंता
overwhelmed	आविष्ट
overwhelming	मज्जन
over	उपरि
owe	अपमयते
owl	उलूक
owner	स्वामी
own	स्वकीयम्‌
ox	वृषभ
pace	गति
package	सम्पुट
pack	बन्ध
paid	भृत
painting	चित्रकारी
paint	चित्र
pain	पीडा
pair	युग्म
pale	पाण्डुर
palm	करतल
pandemic	सर्व्वव्यापकरोगः
panic	भीत
pants	प्रुथ्
pan	भ्राष्ट्र
paper	पत्रं
paradise	स्वर्ग:
parallel	समानांतर
parcel	परिवेष्ट
pardon	क्षम्
parents	मातापितरौ
park	उद्यान
parrot	शुकः
parsley	सुचरित्रा
participate	अनुभुज्
particularly	विशेषतया
particular	विशिष्टः
partner	महभागी
party	मिलन
part	भाग
passage	प्रसंग
passed	अतीत
passionate	तैजस
passion	प्रतिरम्भः
passive	उदासीन
password	समाभाष्
pass	उत्तीर्णः
past	भूत
patch	कर्पटक
pathetic	क्लेशनीयं
path	पथं
patience	सहिष्णुता
patient	रोगीः
pattern	प्रतिमानम्‌
pause	विराम
pavement	बद्धभू
payment	वेतन
pay	वेतनं
peaceful	शांतिप्रियं
peace	शान्तिः
peach	आरुक
peak	चोटी
pear	अमृत
peas	अनणु
peculiar	विशिष्ट
peel	तक्षनं
peers	समवयस्क
peer	संगठन
pee	मूत्
pencil	अङ्कनी
pending	विचाराधीनः
pen	लेखनी
people	जनाः
pepper	मरिच
perceive	जिघ्रति
perception	बोध
perfect	परिपूर्णम्‌
performance	प्रदर्शनम्‌
perform	प्रदर्शन
perhaps	कदाचिद्‌
period	कालांशः
permanent	स्थायी
permission	अनुमति
permit	अनुज्ञापत्र
perseverance	दृढ़ता
persistent	अनवरत
personality	व्यक्तित्व
personal	व्यक्तिगत
person	व्यक्ति
perspective	दृशीक
persuade	उपब्रूते
