a	ၼိူင်ႈဢၼ်
close	ဢိုတ်း
closet	တူႈၶူဝ်း
cloth	သိူဝ်ႈၶူဝ်း
clothes	ၶူဝ်းၼုင်ႈ
cloud	မွၵ်ႇၵုမ်ႈ
cloudy	မွၵ်ႇၼႃ
clown	ၵူၼ်းယူဝ်ႉႁုၼ်ႉၼူဝ်
clue	ငိူၼ်ႈငဝ်ႈ
clumsy	ဢမ်ႇႁဵတ်းလီလီ
cluster	တုမ်ၵၼ်
coach	ၶူးသွၼ်လဵၼ်ႈႁႅင်း
coach	ၸီႉၼေလၢႆး
coal	ထၢၼ်ႇႁိၼ်ငိူၵ်ႈ
coast	ၽၢင်ႇပၢင်ႇလၢႆႇ
coat	ပႄႉ
coffee	ၵႃႇၽီႇ
cognitive	ႁူႉလီလီ
coincidence	ၼႄႉသၢင်ႉ
cold	ဢၼ်ၵတ်း
collapse	ၵူၼ်ႇပင်း
collar	ၶေႃးသိူဝ်ႈ
colleague	ၵူၼ်းႁူမ်ႈႁဵတ်းၵၢၼ်
colleagues	ၵူၼ်းႁဵတ်းၵၢၼ်ၸွမ်းၵၼ်
collect	ၸူႉႁွမ်
collection	ၸူႉႁွမ်တွမ်ႊဝႆႉ
college	ႁူင်းမူၺ်း
color	သီ
colorless green ideas slept furiously	ႁၢမ်းသီ၊ သီၶဵဝ်၊ တၢင်းဝူၼ်ႉ၊ ႁၢဝ်ႈႁႅင်း
colour	သီ
column	ၶွၵ်းတၢင်းတင်ႈ
comb	ဝီႁူဝ်
combination	လေႃးၸၢပ်ႈ
combine	ၶဝ်ႈပႃးၸွမ်း
come	မႃး
come here	မႃးတီႈၼႆႈ
come on	မႃးလႄႈ
comfort	ၸႂ်သိူဝ်းသႃႇ
comfortable	ယူႇငၢႆႈလူမ်ၸႂ်
coming	မႃးယဝ်ႉ
coming soon	ၸမ်တေမႃးယဝ်ႉ
command	ပၼ်ၶေႃႈပူင်
comment	တၢင်းႁၼ်
commercial	ၵႃႉၶၢႆ
commission	ငိုၼ်းသူး
commit	ႁဵတ်းတၢင်းၽိတ်း
commitment	ဢဝ်ပုၼ်ႈၽွၼ်း ၶေႃႈႁပ်ႉႁွင်း
committed	ပူၼ်ႉပႅၼ်မၢႆမီႈ
commodity	ၵုၼ်ႇတၢင်းတိုဝ်း
common	ဢၼ်လူဝ်ႇ
communicate	ၵပ်းသိုပ်ႇ
communication	ၵပ်းသိုပ်ႇတိတ်းတေႃႇ
community	မုၵ်ႉၸုမ်း
commute	ၵႂႃႇၵႂႃႇမႃးမႃး တႃႇၵၢၼ်
companion	တႆးၵေႃႉ
company	ႁူင်းၵၢၼ်
compare	တႅၵ်ႈၼိူင်း
comparison	တိူၵ်ႈၼိူင်း
compassion	ဢေးလူ
compassionate	ႁဵတ်းႁႂ်ႈဢီးလူ
compatible	ၵိုင်ႇလႅပ်ႈ
compete	ထႅမ်ႈသႂ်ႇႁႂ်ႈတဵမ်
competent	တၢင်းၵတ်ႉ
competition	ပၢင်ၶႄႇၶဵင်ႇ
competitive	လႆႈၶႄႉတင်းၼမ်
complain	ႁႃလွင်ႈသုၵ်း
complaint	ႁႃလွင်ႈဢူၼ်
complement	ၵုမ်ႇထူၼ်ႈ
complement	သႂ်ႇပၼ်ႁႂ်ႈၵုမ်ႇ
complete	ႁဵတ်းတဵမ်
completely	တဵမ်တဵမ်ထူၼ်ႈထူၼ်ႈ
complex	သုၵ်ႉသၢၵ်ႉ
compliance	ႁဵတ်းၸွမ်းမၢႆမီႈ
complicated	သုၵ်ႉသၢၵ်ႉယၢပ်ႇၸႂ်
compliment	ယွင်ႈယေႃး
comply	ႁဵတ်းၸွမ်း
composition	လိၵ်ႈပိုတ်ႇ
compound	ႁူမ်ႈလေႃး
comprehension	ပွင်ႇၸႂ်
comprehensive	ၵုမ်ႇထူၼ်ႈ
compromise	ႁဵတ်းၶေႃႈလႆႈၸႂ်
compromise	ၶေႃႈလႆႈၸႂ်
compulsory	ဢမ်ႇႁဵတ်းဢမ်ႇလႆႈ
computer	ၶွမ်း
concentrate	ပၵ်ႉၸႂ်
concept	တၢင်းႁပ်ႉႁၼ်
concern	မႆႈၸႂ်
concern	လွင်ႈၵွင်ႉၵၢႆႇ
concerned	ၵပ်းၵၢႆႇ
concert	ပၢင်မူၼ်ႊသိူဝ်း
conclusion	ၵမ်းလိုၼ်း
concrete	သၢႆးပၢၼ်ႇ
concrete	မီးႁၢင်ႊမီးတူဝ်
concrete	လွင်းသၢႆး
condition	လႆႈပိုင်ႈဢိင်
condition	ငဝ်းလၢႆး
conditions	ငဝ်းလၢႆး
conduct	ၸီႉၼေသဵၼ်ႈတၢင်း
conference	ပၢင်ၵုမ်ႊလူင်
confess	ယွၼ်းႁပ်ႉ
confidence	ယုမ်ႇတူဝ်ၵဝ်ႇ
confident	တၢင်းယုမ်ႇယမ်
confirm	ႁပ်ႉႁွင်းတေႉယဝ်ႉ
conflict	တၢင်းႁၼ်ထိုင်ပိူင်ၵၼ်
confused	ၸႂ်သုၵ်း
confusion	ဢမ်ႇလပ်းလွင်း
congrats	ၸူမ်းၸွမ်း
congratulation	ႁူမ်ၸူမ်းၸွမ်း
congratulations	ၸူမ်းၸွမ်းယဝ်ႉ
conjunction	ၵပ်း
connect	ၵပ်းၸူး
conquer	ႁုပ်ႈသိမ်းဢွင်ႇပေႉ
conscious	ၸႂ်ႊႁူႉ
consciousness	မီးၸႂ်ၽၢင်ႉ
consent	ၶေႃႈယွၼ်းၶႂၢင်ႉ
consent	ယွၼ်းၶႂၢင်ႉ
consequences	ၽွၼ်းႁၢႆႉ
conservation	ၶေႃႈဢုပ်ႇၵၼ်
conservative	တူၺ်းထိုင်လုမ်းလႃး
consider	ဝူၼ်ႉလီလီ
considered	ဝူၼ်ႉသွၼ်ႇ
consist	ၶဝ်ႈပႃးဝႆႉ
consistency	ၵိုင်ႇတၢၼ်ႇ
consistent	ဢမ်ႇမီးတၢင်းလႅၵ်ႈလၢႆႊ
constant	ပိူင်တၢႆ
constantly	သိုပ်ႇပဵၼ်ဝႆႉ
constipation	တွင်ႉပိၵ်ႉ
construction	ၽၢႆႇၵေႃႇသၢင်ႈ
consume	ႁၼ်ထိုင်ဝႃႈ
consumption	ႁႂ်ႈၵုမ်ႇထူၼ်ႈ
contact	ႁဵင်းၵပ်းသိုပ်ႇ
contagious	တၢင်းပဵၼ်ၸပ်း
contain	ပႃးဝႆႉ
contains	ပႃးၸွမ်းဝႆႉ
contemporary	ၵၢပ်ႈပၢၼ်လဵဝ်
contempt	သၢင်းၽႅပ်ႉႁႅင်းၼႃႇ
content	လမ်းၼႂ်း
contest	လၢတ်ႈထဵင်
context	ႁူဝ်ၼၢမ်း
continent	လိုမ်ႈလိၼ်
continue	သိုပ်ႇထႅင်ႈ
contract	လိၵ်ႈၵိၼ်ၵႅၼ်
contract	ႁဵတ်းလိၵ်ႈၵိၼ်ၵႅၼ်ႇ
contrast	လိၵ်ႈၵိၼ်ၵႅၼ်ႇ
contrast	ႁဵတ်းလိၵ်ႈၵိၼ်ၵႅၼ်ႇ
contribute	ငိုၼ်းတွင်း
contribution	မူႇပိူင်
control	ထိင်း
controversial	ၵေႃႉမေႃထဵင်
convenience	ၶႅမ်ႉလႅပ်ႈလီ
convenient	ၽိူမ်ႉထႅမ်
conversation	ၶေႃႈဢုပ်ႇဢေႃး
convert	လႅၵ်ႈပိၼ်ႇ
convey	တေႃႉသူင်ႇ
convey	ၵဵပ်းၶေႃႈမုၼ်း
convince	ယုမ်ႇယမ်ယွမ်းႁပ်ႉ
convinced	ယုမ်ႇယမ်ႁပ်ႉၸႂ်ႉ
cook	ႁုင်
cook	ၸဝ်ႈမိုဝ်ႉ
cooking	တူမ်ႈႁုင်
cool	လႅတ်းတေႉ
cooperation	ႁူမ်ႈမိုဝ်း
cope	ၵေႈၶႆႈ ပၼ်ႁႃ
copper	တွင်းလႅင်
core	ၵႅၼ်ႊၵၢင်ႊ
corn	ၶဝ်ႈၾႃႉ
corner	ၸဵင်ႇ
correct	မၢၼ်ႇမႅၼ်ႈ
cost	ၵႃႊၶၼ်
cost	တူၵ်းမႅၼ်
costume	သိူဝ်ႈၶူဝ်းၸၢဝ်ႈ
cottage	ႁိူၼ်းထၢပ်ႈလဵဝ်
cotton	ၵုၺ်
couch	ၶူးသွၼ်လဵၼ်ႈႁႅင်း
cough	မဵၼ်ဢၢႆႊလူတ်ႉ
could	ပဵၼ်လႆႈ
council	ၶွင်ႇသီႇ
count	ဢၢၼ်ႇ
counter	သၢၼ်ၶတ်း
country	ဝၢၼ်ႈမိူင်း
countryside	မၢၼ်ႈၼွၵ်ႈၼႃးပၢင်ႇ
couple	သွင်
couple	ၵူပ်ႉၵူႈ
courage	ႁတ်းႁၢၼ်
course	တင်ႈႁဵၼ်း
court	လုမ်းတြႃး
courtesy	ၽိင်ႈငႄႈ
cousin	ပီႈၼွင်ႉၶႅၼ်ႈတွင်ႉ
cover	ႁူမ်ႇ
cow	ဝူဝ်းမႄႈ
coward	ၶီႈၵူဝ်
cozy	မီးလွင်ႈဢုၼ်ႇၸႂ်
crab	ပူ
crack	ႁွၺ်းတႅၵ်ႇ
crack	တႅၵ်ႇၵႃႇ
craft	ဢေဝူဝ်း
crap	ၶီႈႁူဝ်
crash	လူႉလႅဝ်
crash	တူၵ်းလႅဝ်
craving	တႂ်းမွင်း
crawl	ၵၢၼ်း
crazy	ယွင်ႇ
create	ၶူင်ႊသၢင်ႈ
creative	ၶူင်ႊသၢင်ႈ
credit	ယုမ်ႇယမ်
creep	ပူပ်ႇၵၢၼ်း
creepy	တုမ်ႇၶူၼ်ၼိူဝ်ႉၵီႈ
crew	ၵူၼ်းထၢမ်းၵၢၼ်
crime	လိူင်ႈ
cringe	ဢၼ်ဢၢႆသေလွင်ႈလွင်ႈ
cringe	ႁူၼ်လင်
crisis	ၶၢဝ်းၵိၼ်းႁႅင်း
criteria	ပိူင်တႅၵ်ႈတႃႇ တႅပ်းတတ်း
critical	လမ်ႇလွင်ႈ
criticism	လိၵ်ႈထတ်းသၢင်
crop	မၢၵ်ႇဝၢၵ်ႈ
crop	ပၢတ်ႇၶဝ်ႈ
crops	မၢၵ်ႇဝၢၵ်ႈၶဝ်ႈၼမ်ႉ
cross	ၶတ်း
cross	သၢၼ်ၶတ်း
crow	ၵႃလမ်
crowd	ၵူၼ်းၵိုၼ်း
crowded	ၵူၼ်းၵိုၼ်း
crown	ႁူင်းသႅင်
crucial	လမ်ႇလွင်ႈတႃႇယႃႉပႅတ်ႈ
cruel	မိူၵ်ႈလိူင်း
cruise	ၶၢဝ်းတၢင်းပၢင်ႇလၢႆႇ
crush	ၵေႃႉထုၵ်ႇၸႂ်
crush	ငိုတ်ႈလႅဝ်၊ ယႃႉတႅၵ်ႇ
cry	ႁႆႈ
cucumber	တႅင်ၶႃႇ
cuddle	ၼွၼ်းဢီး
culture	ၽိင်ႈငႄႈ
cunning	လွၵ်းလိင်ႉၼမ်
cup	ၵွၵ်း
cupboard	တူႈသႂ်ႇဝၢၼ်ႇ
curb	လွင်ႈၵၢၼ်ထိင်းသိမ်း
cure	ယႃႈယႃ
cure	ယူတ်းယႃ
curfew	ႁၢမ်ႈဢွၵ်ႇႁိူၼ်း
curiosity	ၸႂ်ၶႂ်ႈႁူႉႁႅင်း
curious	ၸွပ်ႇႁူႉ
curly	ငေႃး
currency	ယူင်ႉငိုၼ်းတွင်း
current	မိူဝ်ႈလဵဝ်
currently	ယၢမ်းမိူဝ်ႈလဵဝ်
curse	ၵိၼ်ႇ
curtain	ၽႃႈၵင်ႈ
cushion	ၵွပ်ႈမွၼ်း
custom	ၽိင်ႈထုင်း
customer	ပီႈၼွင်ႉသိုဝ်ႉၶၢႆ
customs	ၽိင်ထုင်း
cut	ၵိမ်း
cut	ၵႅတ်း
cute	လီႁၵ်ႉ
cycle	ပၼ်ႇၶွပ်ႈ
cycling	ၶီႇလႅင်
dad	ပေႃႈ
daddy	ပေႃႈ
daily	ၵူႊဝၼ်း
dairy	ၵူႊဝၼ်း
dam	ၾၢႆ
damage	ယႃႉလူႉ
damage	လွင်ႈလူႉသုမ်း
damn	သႄႉၼႄး
damp	ယိုၵ်ႉယမ်း
dance	ၵႃႈ
danger	မီးၽေး
dangerous	ၽေးၶဵၼ်
dark	လပ်းသိင်ႇ
darling	ႁၵ်ႉဢိူၺ်း
dash	ၶၢႆႉၵႃႇ
data	ၶေႃႈမုၼ်း
date	ဝၼ်းထီႈ
date	ၶဵၼ်းၵၼ်
daughter	လုၵ်ႈယိင်း
day	ဝၼ်း
dead	တၢႆ
deadline	ၶၢဝ်းမၵ်းၶၢၼ်း
deaf	ႁူလိတ်ႇ
deal	ဢၼ်ၵႃႊယႂ်ႇ
deal	ၸႅၵ်ႇၽၢႆႉ
dear	ႁၵ်ႉဢိူၺ်း
Dear All	မႂ်ႇသုင်တင်းသဵင်ႈ
Dear Customer	ပီႈၼွင်ႉသိုဝ်ႉပၼ်ႁႅင်းၶႃႈ
Dear Parents	မႂ်ႇသုင်ၶႃႈ ပေႃႈမေႈ
Dear Sir	မႂ်ႇသုင်ၶႃႈ သြႃႇ
Dear students	မႂ်ႇသုင် လုၵ်ႈႁဵၼ်းၶဝ်
Dear Team	မႂ်ႇသုင် ၵေႃႉၸုမ်းႁဝ်း
death	တၢင်းတၢႆ
debate	ပၢင်ထဵင်ၵၼ်
debit	ၼီႈ
debris	လွင်ႈလူႉလႅဝ်
debt	ၼီႈ
decade	ႁူဝ်သိပ်းပီႊ
decay	ၸဝ်ႊ
deceased	ယွမ်းလူင်း
deceive	ပႅတ်ႉ
december	လိူၼ်သိပ်းသွင်
decent	ၶႅမ်ႉ
decide	တႅပ်းတတ်း
decided	တႅပ်းတတ်း
decision	တႅပ်းတတ်း
deck	ၽိူၼ်တႅမ်ႈလိၵ်ႈ
decline	လူတ်ႈယွမ်းၵႃႇ
decrease	လူတ်ႈယွမ်း
dedicated	ၽင်သႂ်ႇ
dedication	ၸုၼ်ႉလူႇ
deed	တၢင်းႁဵတ်းသၢင်ႈ
deep	လိုၵ်ႉ
deer	ၵႂၢင်
default	လွတ်ႈႁၢမ်း
defeat	ဢဝ်ပေႉ
defeat	ၸႅတ်ႈထၢမ်
defend	ၵႅတ်ႇၶႄ
define	ပိုတ်ႇတီႈပွင်ႇ
definitely	ပိုတ်ႇတီႈပွင်ႇ
definitely	ၸႅင်ႈလႅင်းလီၼႃႇ
definition	ပိုတ်ႇတီႈပွင်ႇ
degree	ဢမ်ႇၽွမ်ႉၸွမ်း
delay	ၸိူင်ႉထိူင်း
delay	တၢင်းမႂ်ႉ
delayed	ထိူင်းထိူဝ်ႉ
delete	မွတ်ႇပႅတ်ႈ
deliberate	တင်ႈၸႂ်ႁဵတ်း
delicate	ဢူၼ်ႈဢွၼ်ႇ
delicious	ဝၢၼ်ႈမိူင်း
delight	ပဵဝ်ႇသိူဝ်းမူၼ်ႊ
delighted	သိူဝ်းသႃႇ
deliver	ၵူၼ်းသူင်ႇၶူဝ်း
delivered	သူင်ႇၸူး
delivery	တေႃႉသူင်ႇ
demand	ၶေႃႈတုၵ်းယွၼ်း
demand	တုၵ်းယွၼ်း
demanding	တၢင်းလူဝ်ႇ
democracy	တီႇမွၵ်ႉၵရေႇသီႇ
demon	ၽီႁၢႆႉ
demonstrate	ႁဵတ်းၼေၽၢင်ႁၢင်ႊ
denied	ထဵင်
density	တၢင်းလႅၼ်ႈ
dentist	မေႃယႃၶဵဝ်ႈ
deny	ထဵင်
department	ႁွင်ႈလိုဝ်ႈ
departure	ဢွၵ်ႇၵႂႃႇ
depend	ဢိင်ၼိူဝ်
deploy	ၽေႈတပ်ႉဝႆႉ
deposit	တိုၼ်းလၢင်း
deposit	လူင်းတိုၼ်း
depressed	ထိူင်းၵိူင်ႉ
depression	ၸႂ်တူၵ်း
depth	တၢင်းၼိုၵ်း
describe	တႅမ်ႈၼေ
description	ၸႅင်ႈၼႄ
desert	ၵႂႃႇပႅတ်ႈ
deserve	ၵိုင်ႇထိူၵ်ႈ
design	ၸၼ်ဝဵပ်ႇယၢင်ႇ
design	ဝဵပ်ႇယၢင်ႇ
designation	တႅမ်ႈႁၢင်ႊဝဵပ်ႈယၢင်ႇ
desire	ၵၢင်ၸႂ်
desire	မုင်ႈမွင်း
desk	ၽိူၼ်တႅမ်ႈလိၵ်ႈ
despair	ၸႂ်လဵၵ်ႉ
desperate	ႁူၵ်းႁၢႆႉ
despite	ပိၵ်ႉသမ်ႉဝႃႈ
dessert	တၢင်းၵိၼ်ဝၢၼ်
destination	တႃႈၵႂႃႇ
destiny	ၵၢမ်ႇ
destroy	ယႃႉလူႉ
destruction	ယႃႉလႅဝ်
detail	ႁူဝ်ယွၺ်ႊ
details	ႁူဝ်ယွၺ်ႊ
detect	သွၵ်ႈႁၼ်
determination	ၸႂ်ၵႅၼ်ႇၶႅင်
determine	တႅပ်းတတ်း
determined	တႅပ်းတတ်း
devastated	သၢဝ်းလူႉသၢဝ်းလႅဝ်
develop	ႁုၼ်ႈမုၼ်း
developed	မုၼ်းလႅင်း
development	ႁုၼ်ႈမုၼ်း
device	ၸၢၵ်ႈ
devil	ၽီႁၢႆႉ
devoted	မီးသႅတ်ႉၸႃႉ
Dhivehi	ၶိူဝ်းတႄႉႁီႉဝႃႇရီႇ
diabetes	ယဵဝ်ႈဝၢၼ်
diarrhea	ပဵၼ်တွင်ႉ
diary	မၢႆတွင်းၵူႊဝၼ်းဝၼ်း
dictionary	ပပ်ႉပိုတ်ႈတႅတ်ႈ
did	ႁဵတ်း
die	တၢႆ
died	တၢႆ
diet	တႃႇၶဝ်ႈၸွမ်းလၢႆး
difference	ပႅၵ်ႈပိူင်ႈ
different	ဢၼ်ပႅၵ်ႇပိူင်ႈ
difficult	တၢင်းယၢပ်ႇ
dig	ၶုတ်း
dignity	ၵုင်ႇ
diligent	ၸႂ်ဢိုၼ်ႇၶတ်းၸႂ်
dinner	ၶဝ်ႈၶမ်ႈ
dip	ၸမ်ႈ
direct	ၵမ်းသိုဝ်ႈ
direction	တၢင်းတေၵႂႃႇ
director	ၽူႈၼၢမ်းၸိူင်း
dirt	ႁင်ႈ
dirty	ႁင်ႈဝူၺ်ႇ
disable	ဢမ်ႇၶႅင်ႁႅင်း
disabled	တုၵ်ႉၶီႉတႃႉ
disappear	ႁၢႆၵႂႃႇ
disappointed	ၸႂ်လမ်မႃး
disaster	တီႈပဵၼ်လွင်ႈႁၢႆႉ
discard	ပိုၼ်ႉပႅတ်ႈ
discharge	ယွၼ်းဢွၵ်ႇ
discipline	ပၵ်းပိူင်မၢႆမီႈ
discount	ယွမ်းပၼ်
discover	ၶူၼ်ႉႁႃ
discrimination	ၸႅၵ်ႇၽေႁူႉႁၼ်လႆႈ
discuss	ဢုပ်ႇဢေႃး
discussion	ဢုပ်ႇၵုမ်
disease	တၢင်းပဵၼ်
diseases	တၢင်းပဵၼ်
disguise	ဢုပ်ႇ
disgusting	လီၸင်း
dish	ၽၵ်း
dishes	ဢၢင်ႇၽေ
dismiss	ဢမ်ႇလမ်ႇလွင်ႈ
dispatch	သူင်ႇၵူၼ်း
display	ၼေဝႆႉ
disposal	ပၢၵ်ႇပၢႆႊပႅတ်ႈ
dispute	ႁိမ်ၼမ်ႉၵႂၢမ်း
distance	တၢင်းၵႆ
distinct	ပႅၵ်ႇပိူင်
distinguish	ႁူႉႁၼ်လႆႈ
distress	ႁိူဝ်ႉၸႂ်
distribution	ၽေႈၶၢႆ
district	ပိုၼ်ႉၼႃႈတီႈ
disturb	လွင်ႈသုၵ်ႉသၢၵ်ႉ
ditch	ႁွင်ႊၼမ်ႉ
dive	လမ်ႊၼမ်ႉ
diverse	ပႅၵ်ႈပိူင်ၵၼ်
diversity	မဵဝ်းယၢင်ႇ
divide	ၸႅၵ်ႇၽေ
divine	ၾႃႉၸဝ်ႈ
divorce	ပႅတ်ႈ
divorce	မႄႈႁၢင်ႉ
dizzy	မဝ်း
do	ႁဵတ်း
do you	သူႁႃႉ
do you love me	ၸွင်ႇသူႁၵ်ႉႁဝ်း
doctor	မေႃယႃ
document	ၽိုၼ်လိၵ်ႈၽိုၼ်မၢႆ
does	ႁဵတ်းသၢင်ႈ
doesn't	ဢမ်ႇလႆႈႁဵတ်း
dog	မႃ
Dogri	ၶိူဝ်းတွၵ်ႉၵရီႇ
doing	ႁဵတ်းယူႇ
doll	ႁုၼ်ႇႁၢင်ႊ ဢေၵူၼ်း
domain	လႅၼ်ႊပိူင်ႇငမ်း
domestic	ၶူဝ်းၸႂ်ႉၼႂ်းမိူင်း
dominant	ဢဵၼ်ႁႅင်းယႂ်ႇ
don't	ယႃႇႁဵတ်း
Don't worry	ယႃႇမႆႈၸႂ်
donate	လူႇတၢၼ်း
done	ယဝ်ႉတူဝ်ႈလီငၢမ်း
donkey	မႃႉပွၵ်း
dope	ယႃႈတႃးသွင်ႇ
double	သွင်ပုၼ်ႈ
double	ၵူမ်ႈၵွမ်း
doubt	ထၢင်ႇထိူမ်
doubt	လွင်ႈထၢင်ႇထိူမ်
dough	ၶဝ်ႈမုၼ်ႈတူင်ႇ
down	တီႈတႂ်ႈ
download	ၸၼ်လူင်း
draft	ပိူင်လိူင်း
draft	တႅမ်ႈၸၼ်ဝႆႉ ပိူင်လိူင်း
drag	ၶၢႆႉလွၺ်းလွၺ်း
drain	ႁွင်ႊလၢႆႇၼမ်ႉ
drama	ၸိူင်းတၢင်းႁၵ်ႉ
draw	တႅမ်ႈႁၢင်ႊ
drawer	ၶွင်ႈထွတ်ႇ
drawing	တႅမ်ႈႁႃဝႆႉ
dread	ၵူဝ်ႁေ
dream	တၢင်းၾၼ်
dream	ၼွၼ်းၾၼ်
dress	ၶူဝ်းတုၺ်ႇၼၢင်းယိင်း
drill	ႁွၺ်းထႆ
drink	သူတ်း
drink	ၼမ်ႉသူတ်း
drive	ႁေႃႈ
drop	ယွတ်ႇၼမ်ႉ
drop	ယွတ်ႇတူၵ်း
dropped	တူၵ်းၵမ်းယွတ်ႇယွတ်ႇ
drought	ၾႃႉလႅင်ႉ
drunk	သူတ်ႉ
dry	ႁႅင်ႈ
duck	ပဵတ်း
dude	ၵူၼ်း
due	ပၢင်ၽိတ်းၵၼ်
due to	ယွၼ်ႉဝႃႈ
dull	ၶၢၼ်ႉၼႃႇ
dumb	ဢႃႉ
dump	ၵွင်ယုၵ်းယၢပ်း
duration	ဢသၢၵ်ႈ
during	ၽွင်းၶၢဝ်းမိူဝ်ႈ
dust	ၽုၼ်ႇမုၵ်ႉ
duty	ပုၼ်ႈၽွၼ်း
dwell	ယူႇသဝ်း
dying	တၢႆ
each	ဢၼ်လႂ်ဢၼ်ၼၼ်ႉ
each other	ၵူႊၵေႃႉၵေႃႉ
eager	ၸႂ်လမ်မႃး
eagle	ၼူၵ်ႉႁုင်ႉ
ear	ႁူ
earlier	ၸဝ်ႉတိူဝ်း
early	ၸဝ်ႉ
earn	လႆႈငိုၼ်း
ears	ႁူ
earth	လုမ်ႈၾႃႉ
earthquake	ဢိင်ႇသၼ်ႇ
ease	ငၢႆႈငႅမ်ႈ
easily	ငၢႆႈငႅမ်ႈ
east	ၽၢႆႇဝၼ်းဢွၵ်ႇ
easy	ငၢႆႈ
eat	ၵိၼ်
eating	ၵိၼ်
economic	ပၢႆးမၢၵ်ႈမုၼ်း
economy	ပၢႆးမၢၵ်ႈမုၼ်း
edge	ၶၢႆႉလွၺ်းလွၺ်း
edit	မႄးၶပ်း
education	ပၢႆးပၺ်ႇၺႃႇ
effect	တွမ်ႉယွၼ်ႈ
effective	ထိုင်တီႈ
efficiency	ၽွၼ်းလီ ၸူဝ်ႊပွတ်းပွတ်း
efficient	လူင်ႉလႅၼ်ႇ
effort	တၢင်းၶတ်းၸႂ်
egg	ၶႆႇ
eggplant	မၢၵ်ႇၶိူဝ်
ego	မၢၼ်ႇယႂ်ႇ
eight	ပႅတ်ႈ
eighteen	သိပ်းပႅတ်ႇ
eighty	ပႅတ်ႇသိပ်း
either	သေဢၼ်ဢၼ်
elaborate	ၶပ်းၶိုင်ပၼ် သပ်းသေး
elbow	ငွၵ်းသွၵ်ႇ
elder	ၵေႃႉယႂ်ႇ
elderly	ၵူၼ်းထဝ်ႈ
elegant	လဝ်း
element	ၶူဝ်းၶွင်
elephant	ၸၢင်ႉ
eleven	သိပ်းဢဵတ်း
eligible	ၵိုင်ႇထိူၵ်ႈ
eliminate	ပၢႆႇဢွၵ်ႇပႅတ်ႈ
else	ထႅင်ႈ
embarrassed	ႁဵတ်းႁႂ်ႈဢၢႆ
embarrassing	ၽွင်းၶဵဝ်
embrace	ၵွတ်ႇ
emerge	ပေႃႇပဵၼ်မႃး
emergency	ၶၼ်ႊၼႃႉ
emotional	ၸႂ်ၶုၺ်ႉ
empathy	ႁၼ်ထိုင်ၸွမ်းၵၢင်ၸႂ်
emphasis	ပၼ်ပူၺ်
emphasize	ပၼ်ပူၺ်
employee	ၵူၼ်းႁဵတ်းၵၢၼ်
employees	လုၵ်ႈၸၢၵ်ႈ
employer	လုၵ်ႈၸၢင်ႈႁဵတ်းၵၢၼ်
employment	လုၵ်ႈၸၢင်ႈၵူၼ်းႁဵတ်းၵၢၼ်
empty	ပဝ်ႇ
enable	ႁဵတ်းလႆႈ
encounter	ႁူပ်းၺႃး
encourage	ပၼ်ႁႅင်းၵမ်ႉထႅမ်
end	သုတ်းယဝ်ႉ
endangered	ၸမ်တေမူၺ်ႉ
endeavor	ၶတ်းၸႂ်
endurance	ယိူၼ်ႉၵၼ်ႈ
endure	ယိူၼ်ႉၵၼ်ႈ
enemy	ၽူႈၶဵၼ်
energy	ဢဵၼ်ႁႅင်း
engage	မၼ်ႈ
engaged	ၶဝ်ႈထိုင်
engagement	မၼ်ႈၵၼ်
engagement	ပၢင်တိုၵ်း
engagement	ၶဵၼ်းၵၼ်
engine	ၸၢၵ်ႈ
engineer	မေႃပၢႆးၸၢင်ႊ
English	ဢိင်းၵလဵတ်ႈ
enhance	ၶိုၼ်ႈယႂ်ႇ
enjoy	ၸူမ်းၸွမ်း
enormous	ယႂ်ႇၼႃႇ
enough	ၵုမ်ႇထူၼ်ႈ
ensure	ႁႂ်ႈပဵၼ်မႃး
enter	ၶဝ်ႈမႃး
entertainment	လဝ်ႇမူၼ်ႊ
enthusiasm	ၸႂ်ၸိုၼ်ႇ
enthusiastic	ၸႂ်ဢိုၼ်ႇ
entire	တင်းမူတ်း
entitled	သႂ်ႇပၼ်ႁူဝ်ၶေႃႈ
entity	ႁူင်းၵေႃႇၵၢႆႇ
entrance	ၶဝ်ႈၵႂႃႇ
entrepreneur	ၽူႈၶူင်ႊပိုတ်ႇတၢင်း ၼႃႈၵၢၼ်
envelope	ထူင်လိၵ်ႈ
environment	သိုင်ႇဝႅတ်ႉလွမ်ႉ
envy	သီႈၵေႉ
epic	ထုၵ်ႇယုၵ်ႉယွင်ႈ
epidemic	တၢင်းပဵၼ်ၸပ်း
equal	မိူၼ်ၵၼ်
equipment	ၶိူင်ႈၸႂ်ႉ
equity	ၵႃႊၶၼ် ငိုၼ်းတိုၼ်း
equivalent	မိူၼ်ၵၼ်
eraser	ၵွၼ်ႈထူ
error	ပဵၼ်လူႉ
escape	လွတ်ႈ
especially	ပေႃးတေဝႃႈတေႉမႃး
essay	လိၵ်ႈပွင်
essence	လွၼ်ႉမွၼ်း
essential	ဢၼ်လူဝ်ႇ
establish	ယူႇသၢင်ႈသဝ်း
established	ၵေႃႇသၢင်ႈ
estate	ဝၢင်းႁိူၼ်း
estimate	လၢမ်းၶၢတ်ႈ
estimated	ၼပ်ႉယမ်
etc	ၸႃႉၵႂႃႇ
