شوية	a little
ركّز	focus
تركيز	focus
ضباب	fog
ضباب	foggy
طوى	fold
ناس	folks
تبع	follow
متابعة	follow up
تبع	following
التالي	following
ماكلة	food
مغفل	fool
غباء	foolish
رجل	foot
كورة	football
باش	for
مثلاً	For example
مثلاً	for instance
ليك	for you
محظور	forbidden
ممنوع	forbidden
قوة	force
توقعات	forecast
جبهة	forehead
صنطيحة	forehead
أجنبي	foreign
غابة	forest
للأبد	forever
نسى	forget
سامح	forgive
نسى	forgot
فورشيط	fork
استمارة	form
رسمي	formal
سابق	former
قديم	former
لحسن الحظ	fortunately
زهر	fortune
ثروة	fortune
أربعين	forty
اثنين وربعين	forty-two
لقدام	forward
عزز	foster
تبنى	foster
حارب	fought
جبر	found
لقا	found
أساس	foundation
أربعة	four
ربعطاش	fourteen
ديب	fox
دغيا تيتهرس	fragile
هش	fragile
إطار	frame
كادر	frame
إطار العمل	framework
تزوير	fraud
احتيال	fraud
غريب أطوار	freak
باطل	free
مجاناً	free
حر	free
حرية	freedom
تجمّد	freeze
تردد	frequency
مكرر	frequent
بزاف	frequently
غالباً	frequently
طريق	fresh
جمعة	friday
تلاجة	fridge
صديق	friend
صاحب	friend
ودي	friendly
صحاب	friends
صداقة	friendship
خايف	frightened
كيخوف	frightening
ضفدع	frog
من	from
جبهة	front
لقدام	front
مجمد	frozen
فروطا	fruit
محبط	frustrated
ليصانص	fuel
الفولانية	Fulfulde
كامل	full
عامر	full
ممتع	fun
وظيفة	function
خاصية	function
أساسي	fundamental
جنازة	funeral
تيضحك	funny
زغب	fur
معصّب	furious
أثاث	furniture
آخر	further
كثر	further
زيدون	furthermore
زيد عليها	furthermore
مستقبل	future
ربح	gain
لعبة	game
فجوة	gap
جراج	garage
طارو	garbage
حديقة	garden
ثوم	garlic
بوابة	gate
جمع	gather
اجتماع	gathering
مقياس	gauge
منح	gave
ماطريال	gear
ترس	gear
جنس	gender
عام	general
بصفة عامة	generally
نشأ	generate
نتج	generate
جيل	generation
سخي	generous
كريم	generous
عبقري	genius
نوع	genre
ظريف	gentle
صادق	genuine
إيماءة	gesture
إشارة	gesture
رجع	get
جاب	get
لبس	get dressed
فيق	get up
فاق	get up
بالشفا	get well soon
خدا	getting
حصل على	getting
جن	ghost
تجنب	ghosting
ظلال	ghosting
كبير بزاف	giant
عملاق	giant
كادو	gift
سكنجبير	ginger
بنت	girl
حبيبة	girlfriend
عطي	give
استسلم	give up
ممنوح	given
فرحان	glad
لمحة	glance
شاف	glance
زاج	glass
نظاظر	glasses
لمحة	glimpse
عالمي	global
كئيب	gloomy
ليجات	gloves
برق	glow
توهّج	glow up
لصاق	glue
مشا	go
يلاه	go
سير على الله	go ahead
بعد مني	go away
مشي تنعس	go to bed
هدف	goal
أهداف	goals
معزة	goat
إله	god
اللهم بارك	god bless you
مشا	goes
ماشي عادي	going
غادي لـ	going to
ذهب	gold
مشا	gone
غادي	gonna
لزج	goo
مزيان	good
مسا لخير	good afternoon
بسلامة	good bye
نهار زوين	good day
مسا لخير	good evening
برافو	good job
زوين	good looking
بالتوفيق	good luck
الله يوفق	good luck
صباح الخير	good morning
صباح الخير أحبيبا	good morning my love
ليلة سعيدة	good night
تصبح على خير	good night
بسلامة	goodbye
تصبح على خير	goodnight
سلعة	goods
جوجل	Google
ترجمة Google	Google Translate
وزّة	goose
غزال	gorgeous
واعر	gorgeous
نميمة	gossip
رجع	got
عندو	got
فهمت	got it
حكومة	government
شد	grab
صف	grade
درجة	grade
تدريجي	gradually
تخرج	graduate
خرّيج	graduate
حبّة	grain
منح	grant
عاون	grant
ممنوح	granted
عنب	grapes
فهم	grasp
شد	grasp
جازون	grass
ربيع	grass
ممتن	grateful
امتنان	gratitude
خطير	grave
قبر	grave
رمادي	gray
مزيان	great
مخيّر	great
طمع	greed
طماع	greedy
خضر	green
رحّب	greet
ترحيب	greeting
تحيات	greetings
رمادي	grey
شبكة	grid
حزن	grief
طَحن	grind
سحق	grind
سيطرة	grip
قبضة	grip
تسوق	grocery
سخرة	grocery
عريس	groom
إجمالي	gross
كيغيلف	gross
أرض	ground
مجموعة	group
كبر	grow
نمو	growth
معبّس	grumpy
الغوارانية	Guarani
ضمان	guarantee
عساس	guard
بان ليه	guess
فراسك	guess
ضيف	guest
توجيه	guidance
وجّه	guide
دليل	guide
حاس بالذنب	guilty
مُدان	guilty
ولد	guy
دراري	guys
لاصال	gym
طبيعة	habit
عادة	habit
موطن	habitat
كان عندو	had
تحية	hail
شعر	hair
نص	half
قاعة	hall
سلّم	hand
يد	hand
تعامل	handle
تكلّف	handle
زوين	handsome
شنق	hang
علّق	hang
تسركل	hang out
وقع	happen
وقع	happened
سعادة	happiness
فرحان	happy
عيد ميلاد سعيد	happy birthday
عيد ميلاد سعيد	happy birthday to you
سنة سعيدة	happy new year
صعيب	hard
بدراع	hardly
نادراً ما	hardly ever
ضرر	harm
مُضر	harmful
تناغم	harmony
قاصح	harsh
محصول	harvest
عندو	has
حقد	hate
كره	hate
عندي	have
نهارك مبروك	have a good day
نهارك مبروك	have a nice day
كول الفطور	have breakfast
استمتع	have fun
كليتي	have you eaten
عندو	having
خطر	hazard
ضباب	haze
هو	he
عندو	he has
هو	he is
راس	head
حريق الراس	headache
شفى	heal
تشافى	healing
برا	healing
صحة	health
صحي	healthy
سمع	hear
سمع	heard
قلب	heart
سخانة	heat
حرارة	heat
جنة	heaven
ثقيل	heavy
حافل	hectic
الطول	height
وريث	heir
سطو	heist
سرقة	heist
عقد	held
جحيم	hell
السلام عليكم	Hello
أهلا أحبيبا	hello dear
أهلا كيف نتا	hello how are you
أهلا كي داير	hello how are you doing
خوذة	helmet
عاون	help
مفيد	helpful
عليها	hence
هي	her
قطيع	herd
هنا	here
إرث	heritage
تردد	hesitate
سلام	Hey
أهلاً	Hey
سلام	Hi
سلام كي داير؟	hi how are you
أهلا وسهلا	Hi there
مخبي	hidden
اختفى	hide
تسلسل	hierarchy
عالي	high
محشش	high
برز	highlight
تنزه	hike
تنزه	hiking
تيضحك	hilarious
تلة	hill
هو	him
تلميح	hint
ورك	hip
وركين	hips
خدّم	hire
عيّن	hire
توظيف	hiring
ديالو	his
تاريخ	history
سِجل	history
ضرب	hit
ممم	Hmm
هواية	hobby
احتفظ	hold
شد	hold
تسنا	hold on
تقبة	hole
عطلة	holiday
عيد	holiday
خاوي	hollow
دار	home
واجب منزلي	homework
صادق	honest
الصراحة	honestly
العسل	Honey
حبيبا	Honey
شرف	honor
غطا الموطور	hood
قبية	hood
خطاف	hook
نقز	hop
تمنى	hope
على الله	hopefully
ميئوس منه	hopeless
أفقي	horizontal
قرن	horn
بوق	horn
كيخلع	horrible
خايب	horrible
رعب	horror
عود	horse
خيل	horse
سبيطار	hospital
ضيافة	hospitality
يستضيف	host
مضيف	host
معادي	hostile
سخون	hot
أوطيل	hotel
ساعة	hour
ساعات	hours
دار	house
الدار	household
كيفاش	how
ونتا؟	how about you
كي داير	how are you
كي راك	how are you doing
كي داير ليوم	how are you doing today
كيف راك ليوم	how are you today
كيفاش كتدير	how do you do
كيف	how is
شحال	how many
شحال	how much
شحال من مرة	how often
شحال فعمرك	how old are you
كيف داز نهارك؟	how was your day
كيف دازت ليلتك؟	how was your night
ولكن	however
غير شنو	however
محور	hub
راجلي	hubby
درّع	hug
عانق	hug
كبير بزاف	huge
إنسان	human
متواضع	humble
رطب	humid
رطوبة	humidity
ميا	hundred
جيعان	hungry
طارد	hunt
إعصار	hurricane
شلط	hurry
دغيا	hurry
شري	hurry up
شلط	hurry up
جرح	hurt
حرق	hurt
زوج	husband
احتال	hustle
خدم مزيان	hustle
كوخ	hut
نظافة	hygiene
أنا	I
أنا	I am
أنا بخير	I am fine
نقدر	I can
منقدرش	I can't
كندير	I do
معرفت	I do not know
مفهمتشي	I do not understand
منعرف	I don't know
مفهمتش	I don't understand
مفهمتشي شنو كتقصد	I don't understand what you mean
مفهمتكش	I don't understand you
معرفتش	I don’t know
مفهمتشي	I don’t understand
كنظن	i guess
كان عندي	I had
عندي	I have
كنت	I have been
على الله	I hope so
عارف	I know
أحب	I like
كتعجبني	I like you
كيعجبني	I love
كنبغي خاي الكبير	I love my big brother
كنبغي ختي الكبيرة	I love my big sister
كنبغي بابا	I love my father
كنبغي خاي الصغير	I love my little brother
كنبغي ختي الصغيرة	I love my little sister
كنبغي ماما	I love my mother
كنبغيك	I love you
كنبغيك بزاف	I love you so much
حتا انا كنبغيك	I love you too
كنقصد	I mean
توحشتك	I miss you
توحشتك بزاف	I miss you so much
كنشوف	I see
كنظن	I think
فهمت	I understand
بغيت	I want
بغيت نشوفك	I want to see you
بغيتك	I want you
كنت	I was
غادي	I will
كنت غنكون	I would be
أنا	I'm
أنا بخير	I'm fine
أنا بخير	I'm good
أنا هنا	I'm here
سمحلي	I'm sorry
تلج	ice
لا جلاس	ice cream
فكرة	idea
مثالي	ideal
مطابق	identical
حدّد	identify
هوية	identity
غبي	idiot
عاطل	idle
إذا	if
تجاهل	ignore
ميّك	ignore
مريض	ill
ماشي قانوني	illegal
مرض	illness
لغة إيلوكانو	Ilocano
تصويرة	image
تخيل	imagine
فالبلاصة	immediate
نيشان	immediately
هائل	immense
تأثير	impact
مصبارش	impatient
نفّذ	implement
يستورد	import
مهم	important
فرض	impose
مستحيل	impossible
إبهار	impress
انطباع	impression
واعر	impressive
طوّر	improve
تحسن	improvement
فـ	in
زيد عليها	in addition
فالحقيقة	In fact
قبالت	in front of
باش	in order to
ممناسبش	inappropriate
حافز	incentive
حادثة	incident
كسيدة	incident
شمس	include
بما فيها	including
دخل	income
إزعاج	inconvenience
طلع	increase
زاد	increase
زاد	increased
ارتفع	increased
ميمكنش	incredible
كاينة	indeed
بصح	indeed
مستقل	independent
الهند	India
شار	indicate
السكان الأصليين	indigenous
محلي	indigenous
فرد	individual
صناعة	industry
حتمي	inevitable
تبابي	infant
عدوى	infection
ما لا نهاية	infinity
التهاب	inflammation
تضخم	inflation
تأثير	influence
خبر	inform
معلومة	information
مكونات	ingredients
ميراث	inheritance
أولي	initial
مبادرة	initiative
مجروح	injured
مضروب	injured
إصابة	injury
بريء	innocent
اختراع	innovation
سؤال	inquiry
مجنون	insane
حمق	insane
حشرة	insect
مفيهش الأمن	insecure
مآمنش	insecure
إدراج	insert
فوسط	inside
رؤية	insight
صرّ	insist
أرق	insomnia
إلهام	inspiration
لهم	inspire
انسطالي	install
مثال	instance
فوري	instant
فالبلاصة	instant
فعوض	instead
فعوض	instead of
تعليمات	instructions
آلة موسيقية	instrument
أداة	instrument
إهانة	insult
تأمين	insurance
سليم	intact
نزاهة	integrity
فكري	intellectual
ذكاء	intelligence
ذكي	intelligent
قصد	intend
مقصود	intended
كثيف	intense
نية	intention
تفاعل	interact
تفاعل	interaction
مصلحة	interest
اهتمام	interest
مهتم	interested
مهم	interesting
تدخّل	interfere
متوسط	intermediate
داخلي	internal
دولي	international
سطاج	internship
ترجمة فورية	interpret
مترجم فوري	interpreter
قاطع	interrupt
مقابلة	interview
حميمي	intimate
وسط	into
فـ	into
قدّم	introduce
مقدمة	introduction
منطوي	introvert
حدس	intuition
مصالحش	invalid
اخترع	invent
مخزون	inventory
استثمر	invest
تحقق	investigate
دعوة	invitation
دعوة	invite
فاتورة	invoice
شارك	involve
تضمن	involve
معني	involved
مشارك	involved
حديد	iron
جزيرة	island
معزول	isolated
قضية	issue
مشكلة	issue
مشاكل	issues
هو	it
هي	it
هذا	it is
كان	it was
هذا	it's
معليش	it's ok
ماشي مشكل	It's okay
عنصر	item
بند	item
عناصر	items
أنا	I’m
جاكيط	jacket
حبس	jail
يناير	January
غرّاف	jar
فك	jaw
غيران	jealous
حمق	jerk
مجوهرات	jewelry
خدمة	job
جري بشوية	jogging
انضمام	join
مشترك	joint
مفصل	joint
نكتة	joke
صحافي	journalist
رحلة	journey
مسيرة	journey
سعادة	joy
حكم	judge
قاضي	judge
عصير	juice
يوليوز	july
نقز	jump
يونيو	june
نفاية	junk
غير	just
يلاه	just
غير ديرها	just do it
عدالة	justice
برر	justify
الكالاليستية	Kalaallisut
حريص	keen
خلّي	keep
احتفظ	keep
استمر	keep it up
احتفظ	kept
غلاية	kettle
مفتاح	key
رئيسي	key
ضربة	kick
تيرا	kick
دري	kid
ضحك	kidding
كلوة	kidney
دراري	kids
قتل	kill
ظريف	kind
نوع	kind
نوع من	kinda
عافاك	kindly
طيبة	kindness
ملك	king
بوسة	kiss
كوزينة	kitchen
طيارة ورقية	kite
قطيوط	kitten
ركبة	knee
عرف	knew
موس	knife
فارس	knight
عرف	know
معرفة	knowledge
معروف	known
الكونكانية	Konkani
لغة كريو	Krio
ملصق	label
علامة	label
حريق ديال الولادة	labor
خدمة	labor
حريق الولادة	labour
خدمة	labour
نقص	lack
سلّوم	ladder
سيدة	lady
نزّل	laid
بحيرة	lake
خروف	lamb
مبلوز	lame
مصباح	lamp
أرض	land
منظر طبيعي	landscape
لغة	language
دورة	lap
حجر	lap
كبير	large
استمر	last
آخر	last
أخيرًا وليس آخرًا	last but not least
الاسم العائلي	last name
معطل	late
مؤخرًا	lately
من بعد	later
آخر	latest
الثاني	latter
لخّر	latter
ضحك	laugh
ضحك	laughing
ضحك	laughter
لونصا	launch
طلق	launch
التصبين	laundry
قانون	law
الحديقة	lawn
الجازون	lawn
محام	lawyer
نزّل	lay
طبقة	layer
مخطط	layout
تصميم	layout
معكاز	lazy
كسول	lazy
رصاص	lead
قاد	lead
قائد	leader
ورقة	leaf
تسرّب	leak
ضعيف	lean
مال	lean
قفزة	leap
تعلم	learn
تعلم	learning
استئجار	lease
أقل	least
جلد	leather
خلّا	leave
مشى	leave
وراق	leaves
غادر	leaves
أدى لـ	led
قاد	led
ليسر	left
مشا	left
رجل	leg
إرث	legacy
قانوني	legal
أسطورة	legend
قانوني	legit
ترفيه	leisure
وقت فراغ	leisure
سلف	lend
مدة	length
طول	length
قل	less
درس	lesson
خلّي	let
حرف	letter
رسالة	letter
خس	lettuce
مرحلة	level
استفادة	leverage
مسئولية	liability
مكتبة	library
لحس	lick
كذب	lie
كذوب	lies
حياة	life
علا	lift
فاتح	light
خفيف	light
ضو	light
برق	lightning
بحال	like
عجبي	like
غالباً	likely
حتى هو	likewise
صف	line
فيلة	line
لغة لينجالا	Lingala
رابط	link
ليان	link
سبعة	lion
سائل	liquid
ليستا	list
سمع	listen
تصنت	listen
تصنت	listening
حرفيًا	literally
أدب	literature
زبل	litter
قمامة	litter
صغير	little
مباشر	live
عاش	live
كبدة	liver
حيوات	lives
عيش	living
صالون	living room
سحلية	lizard
حمل	load
رغيف	loaf
قرض	loan
محلي	local
موقع	location
قفل	lock
حظر	lockdown
سجل	log
جذع	log
تيضحك بزاف	lol
وحيد	lonely
منعزل	lonely
طويل	long
شحال متلاقينا	long time no see
قلّب	look
شاف	look
دورة	loop
حلقة	loop
فضفاض	loose
مدلي	loose
رب	lord
خسر	lose
خسارة	loss
خسر	lost
فقد	lost
قسمة	lot
بزاف	lot
أرض	lot
بصوت عالٍ	loud
صالة	lounge
الحب	love
كنبغيك	love you
واعر	lovely
حاني	low
أقل	lower
أدنى	lower
وفي	loyal
وفاء	loyalty
زهر	luck
عندو الزهر	lucky
لغة لوجندا	Luganda
الماليطة	luggage
كتلة	lump
ورم	lump
غذا	lunch
رية	lungs
فاخر	luxury
متكي	lying
كذب	lying
آلة	machine
كاعي	mad
معصّب	mad
مادام	madam
دار	made
مجلة	magazine
عظيم	magnificent
خدّامة	maid
رئيسي	main
أساسي	main
حافظ	maintain
بقى	maintain
صيانة	maintenance
لغة مايثيلي	Maithili
رئيسي	major
كبير	major
أغلبية	majority
دار	make
صوّب	make
مكياج	make up
عوّض	make up
ذكر	male
مجمع تجاري	mall
راجل	man
دار	manage
إدارة	management
مدير	manager
إجباري	mandatory
إلزامي	mandatory
ظهر	manifest
واظح	manifest
تلاعب	manipulate
أسلوب	manner
طريقة	manner
يدوي	manual
بزاف	many
بزاف وبزاف ديال العوائد السعيدة ليوما	many many happy returns of the day
مارس	march
مسيرة	march
هامش	margin
سوق	market
زواج	marriage
متزوج	married
ماسك	mask
كتلة	mass
كيبر	massive
ضخم	massive
رئيسي	master
تقن	master
واتى	match
ماتش	match
رفيق	mate
تزاوج	mate
مادة	material
ماطريال	material
لماط	math
مسألة	matter
موضوع	matter
نضج	maturity
ماي	may
يمكن	may
يمكن	maybe
يقدر	maybe
أنا	me
حتى أنا	me too
وجبة	meal
يعني	mean
قبيح	mean
معنى	meaning
تتعني	means
وسائل	means
قصد	meant
فالوقت لي	meanwhile
قاس	measure
مقاييس	measures
لحم	meat
طبي	medical
دوا	medicine
تأمل	meditation
متوسط	medium
تلقا	meet
اجتماع	meeting
لغة ميتيلون	Meiteilon
ذاب	melt
ذكريات	memories
ذاكرة	memory
عقلي	mental
ذكر	mention
ذكر	mentioned
مرشد	mentor
تاجر	merchant
رحمة	mercy
غير	merely
عيد ميلاد مجيد	merry christmas
فوضى	mess
رسالة	message
فوضوي	messy
معدن	metal
طريقة	method
فار	mice
وسط	middle
نص الليل	midnight
يمكن	might
خفيف	mild
معتدل	mild
مرحلة	milestone
معلم	milestone
عسكر	military
جيش	military
حليب	milk
مليون	million
عقل	mind
مانع	mind
عقلية	mindset
ديالي	mine
منجم	mine
خلط	mingle
صغير	minor
قاصر	minor
دقيقة	minute
دقايق	minutes
معجزة	miracle
مرايا	mirror
متنوع	miscellaneous
خبيث	mischievous
بائس	miserable
بؤس	misery
آنسة	miss
توحش	miss
توحشتك	miss you
مفقود	missing
مهمة	mission
ضباب	mist
غلط	mistake
لغة ميزو	Mizo
تيليفون	mobile
ضحك	mock
تلهى	mock
طراز	model
موديل	model
معتدل	moderate
حديث	modern
متواضع	modest
رطب	moist
رطوبة	moisture
قالب	mold
جاسوس	mole
زبيبة	mole
والدة	mom
أمر	mom
لحظة	moment
التنين	monday
فلوس	money
راقب	monitor
قرد	monkey
شهر	month
جانة	mood
جو	mood
المزاج ديالو متقلب	moody
قمر	moon
أخلاقي	moral
كثر	more
زيدون	moreover
زيد عليها	moreover
صباح	morning
عربي مغربي	Morrocan Arabic
القرض	mortgage
أغلب	most
فالغالب	mostly
والدة	mother
أم	mother
حركة	motion
تحفيز	motivation
جبل	mountain
فار	mouse
فم	mouth
تحرك	move
انتقل	move
حركة	movement
فيلم	movie
سيدة	mrs
بزاف	much
غيس	mud
كاس	mug
عضلة	muscle
متحف	museum
شامبنيون	mushroom
موسيقى	music
خاص	must
ابكم	mute
مشترك	mutual
ديالي	my
حبيبا	My dear
صاحبي	my friend
الحوامة ديالي عامرة بالحياي	My hovercraft is full of eels
الحبيب ديالي	my love
سميتي	my name is
بكل سرور	my pleasure
راسي	myself
غامض	mysterious
لغز	mystery
خرافة	myth
ظغر	nail
مسمار	nail
نية	naive
سادج	naive
سمية	name
رواية	narrative
ضيق	narrow
خايب	nasty
وطني	national
جنسية	nationality
محلي	native
طبيعي	natural
طبيعة	nature
الغثيان	nausea
قريب من	near
حدا	near
قريب	nearby
تقريبًا	nearly
أنيق	neat
نقي	neat
ضروري	necessary
عنق	neck
سلسلة	necklace
حتاج	need
حاجة	need
سالب	negative
سلبي	negative
تجاهل	neglect
اهمل	neglect
تفاوض	negotiate
جار	neighbor
حومة	neighborhood
ولد الأخ	nephew
ولد الاخت	nephew
مجتهد	nerd
متوتر	nervous
عش	nest
شبكة	net
شبكة	network
محايد	neutral
أبدًا	never
عمري	never
عمرك تستسلم	never give up
معليش	never mind
بلاش	never mind
معليش	nevermind
بلاش	nevermind
ولكن	nevertheless
غير شنو	nevertheless
جديد	new
أخبار	news
التالي	next
حدا	next to
زوين	nice
ظريف	nice
متشرفين	nice to meet you
بنت الأخ	niece
بنت الأخت	niece
ليل	night
كابوس	nightmare
تسعود	nine
تسعطاش	nineteen
تسعين	ninety
لا	No
ماشي مشكل	no problem
ميمكنش	no way
حتا حد	nobody
صداع	noise
عالي	noisy
حتا واحد	none
حتا حاجة	none
ظهر	noon
لا	nope
ولا	nor
طبيعي	normal
شمال	north
نيف	nose
نوسطالجي	nostalgic
ماشي	not
بالعمى	not at all
أبداً	not at all
مابيهش	not bad
ماشي دبا	Not now
ما زال	not yet
ملحوظة	note
مقيدة	noted
والو	nothing
حتى حاجة	nothing
ملاحظة	notice
لاحظ	notice
لاحظ	noticed
سمية	noun
أسماء	nouns
رواية	novel
نوفمبر	november
دبا	now
ليوم	nowadays
شقمة	nuisance
باطل	null
مخدّر	numb
عدد	number
ممرض	nurse
جوز	nut
جوز الطيب	nutmeg
تغذية	nutrition
قسم	oath
سمنة	obesity
طاع	obey
هدف	object
شيء	object
موضوعي	objective
واجب	obligation
التزام	obligation
غامض	obscure
ملاحظة	observation
لاحظ	observe
مهووس	obsessed
هوس	obsession
قديم	obsolete
عائق	obstacle
حصل على	obtain
مكتسب	obtained
واضح	obvious
باينة	obviously
مرة مرة	occasionally
شغل	occupation
مهنة	occupation
مشغول	occupied
محتلة	occupied
وقع	occur
وقع	occurred
وقع	occurs
محيط	ocean
أكتوبر	october
غريب	odd
احتمال	odds
ديال	of
طبعًا	of course
خرج	off
مهين	offensive
عرض	offer
مكتب	office
رسمي	official
غالبًا	often
أوه	Oh
بصاح	oh really
زيت	oil
وخا	ok
وخا احبيبا	ok dear
وخا أحبيبا	ok honey
وخا أحبيبا	ok my love
وخا	okay
وخا أحبيبا	okay baby
وخا أحبيبا	okay dear
وخا أحبيبا	okay honey
وخا أحبيبا	okay my love
قديم	old
فوق	on
على	on
غير	once
واحد المرة	once
واحد	one
واحد اللغة عمرها كانت كافية	one language is never enough
بصلة	onion
متصل	online
غير	only
فتح	open
مفتوح	open
عملية	operation
رأي	opinion
فرص	opportunities
فرصة	opportunity
العكس	opposite
متفائل	optimistic
خيار	option
اختياري	optional
ولا	or
برتقالي	orange
طلب	order
قرار	order
عادي	ordinary
مؤسسة	organization
توجيه	orientation
أصل	origin
أصلي	original
لغة أورومو	Oromo
يتيم	orphan
آخُر	other
ولّا	otherwise
خاص	ought
ديالنا	our
المهمة ديالنا: نمكنو الناس من جميع الأنحاء يفهمو العالم ويعبرو على راسهم بجميع اللغات.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
المهمة ديالنا: ننظمو المعلومات فالعالم ونخليوها تفيد وتكون فمتناول الجميع.	Our mission: to organize the world's information and make it universally accessible and useful.
برّا	out
خارج	out
ناتج	outcome
لبسة	outfit
منفتح	outgoing
منفذ	outlet
مخطط	outline
موجز	outline
خارج	outside
متميز	outstanding
فران	oven
فوق	over
تماك	over there
إجمالي	overall
تغلب	overcome
التفكير الزايد	overthinking
مروّن	overwhelmed
عيان	overwhelmed
غامر	overwhelming
كيسال	owe
بومة	owl
مْلْكْ	own
ديال	own
مول الشي	owner
مالك	owner
ثور	ox
سرعة	pace
حزمة	pack
باك	pack
حزمة	package
طرد	package
خالص	paid
حريق	pain
رسم	paint
رسم	painting
زوج	pair
باهت	pale
كف	palm
مقلا	pan
وباء	pandemic
ذعر	panic
سروال	pants
ورقة	paper
جنة	paradise
متوازي	parallel
طرد	parcel
كوريا	parcel
سمحليا	pardon
والدين	parents
آباء	parents
باركا	park
متنزه	park
باباغيو	parrot
معدنوس	parsley
دور	part
جزء	part
شارك	participate
معيّن	particular
خصوصًا	particularly
شريك	partner
حفل	party
دوّز	pass
تجاوز	pass
ممر	passage
داز	passed
شغف	passion
عاطفة	passion
شغوف	passionate
سلبي	passive
مودباس	password
ماضي	past
رقعة	patch
طريق	path
كيثير الشفقة	pathetic
صبر	patience
مريض	patient
صبّار	patient
نمط	pattern
وقف	pause
رصيف	pavement
خلّص	pay
خلاص	payment
سلام	peace
مسالم	peaceful
خوخ	peach
قمة	peak
ذروة	peak
لينجاس	pear
جلبان	peas
غريب	peculiar
بال	pee
بول	pee
قشّر	peel
نظير	peer
أقران	peers
ستيلو	pen
قلم رصاص	pencil
قيد الانتظار	pending
ناس	people
فلفل	pepper
تصور	perceive
تصور	perception
إدراك	perception
مثالي	perfect
أدّى	perform
أداء	performance
يمكن	perhaps
فترة	period
دائم	permanent
إذن	permission
ترخيص	permit
سمح	permit
مثابرة	perseverance
مثابر	persistent
شخص	person
شخصي	personal
شخصية	personality
وجهة نظر	perspective
قنع	persuade
منحرف	pervert
حيوان أليف	pet
مرحلة	phase
ظاهرة	phenomenon
فلسفة	philosophy
تيليفون	phone
تصويرة	photo
جملة	phrase
بدني	physical
خدا	pick
ختار	pick
تسلم	pick up
التقط	pick up
تصويرة	picture
طريف	piece
قطع	pieces
طروفا	pieces
حلّوف	pig
حمامة	pigeon
كومة	pile
مخدة	pillow
بيلوط	pilot
مسمار	pin
أناناس	pineapple
وردي	pink
منجم	pit
حفرة	pit
رمى	pitch
تيران	pitch
شفقة	pity
بلاصة	place
بلايض	places
وباء	plague
ساهل	plain
خطة	plan
طيارة	plane
زرع	plant
نبتة	plant
نباتات	plants
طبسيل	plate
منصة	platform
لعب	play
تيلعب	playing
ممتع	pleasant
إذا جات على خاطرك	please
عافاك	please
فرحان	pleased
متعة	pleasure
سرور	pleasure
تعهّد	pledge
التزم	pledge
بزاف	plenty
مؤامرة	plot
قصة	plot
سدادة	plug
مقبس	plug
برقوق	plum
بلومبي	plumber
جمع	plural
بودكاست	podcast
قصيدة	poem
شِعر	poetry
نقطة	point
سم	poison
بوليس	police
سياسة	policy
مأدّب	polite
تلوث	pollution
بركة	pond
بيّار	pool
لا بيسين	pool
خرا	poop
فقير	poor
فرقع	pop
البوب	pop
شائع	popular
مشهور	popular
سكان	population
لحم الحلوف	pork
بوريدج	porridge
منفذ	port
مرسى	port
بلاصة	position
موقع	position
إيجابي	positive
كيملك	possess
حيازة	possession
ملكية	possession
تملكي	possessive
ممكن	possible
بريد	post
منصب	post
أجّل	postpone
بطاطا	potato
قدرة	potential
إمكانية	potential
باوند	pound
فقر	poverty
قوة	power
قوي	powerful
عملي	practical
مارس	practice
تدريب	practice
مدح	praise
مقلب	prank
صلى	pray
دعا	pray
غالي	precious
دقيق	precise
بالضبط	precisely
توقع	predict
فضّل	prefer
تفضيل	preference
حامل	pregnant
تحييّز	prejudice
مساس	prejudice
مبنى	premises
ممتاز	premium
تحضير	preparation
وجّد	prepare
استعد	prepare
مستعد	prepared
حرف جر	preposition
وجود	presence
حضور	presence
قدّم	present
الحاضر	present
كادو	present
عرض	presentation
حافظ على	preserve
رئيس	president
مدير	president
تكّي	press
صحافة	press
ضغط	pressure
تصنع	pretend
تظاهر	pretend
زوين	pretty
بزاف	pretty
منع	prevent
السابق	previous
فريسة	prey
ضحية	prey
ثمن	price
كبرياء	pride
فخر	pride
كاهن	priest
أساسي	primary
رئيس	prime
قمّة	prime
أميرة	princess
رئيسي	principal
قبل	prior
أولوية	priority
حبس	prison
خصوصية	privacy
خاص	private
شرف	privilege
امتياز	privilege
جائزة	prize
غالبًاً	probably
يمكن	probably
مشكلة	problem
عملية	procedure
إجراء	procedure
كمّل	proceed
عملية	process
نتج	produce
منتج	product
إنتاج	production
مهنة	profession
محترف	professional
ملف شخصي	profile
فائدة	profit
ربح	profit
عميق	profound
تقدم	progress
تطور	progress
مشروع	project
بارز	prominent
مشهور	prominent
وعْد	promise
وعَد	promise
روّج	promote
ترقية	promotion
عرض	promotion
أمر	prompt
معرّض	prone
ضمائر	pronouns
نطق	pronunciation
دليل	proof
سليم	proper
مناسب	proper
بشكل مناسب	properly
خصائص	properties
عقار	property
ملكية	property
مقترح	proposal
عرض زواج	proposal
احتمال	prospect
ازدهار	prosperity
ناجح	prosperous
مزدهر	prosperous
حمى	protect
فخور	proud
بيّن	prove
ثبت	prove
عطي	provide
وفر	provide
معطي	provided
مقاطعة	province
حكم	provision
توفير	provision
بلوغ	puberty
جمهور	public
عام	public
