trocha	a little
ani	even
nawet	even
chocioż	even though
wieczōr	evening
wydarzynie	event
w kōńcu	eventually
kejś	ever
kożdy	every
wszyjscy	everybody
kożdy	everybody
wszyscy	everyone
kożdy	everyone
wszysko	everything
dowōd	evidence
zło	evil
zły	evil
ewolucyjo	evolution
ywoluować	evolve
Ewe	Ewe
były	ex
akuratny	exact
gynau	exactly
akuratnie	exactly
zdowka	exam
podszukować	examine
przikłod	example
przekroczyć	exceed
przekroczać	exceed
wyborny	excellent
ôkrōm	except
z wyjōntkym	except
wyjōntek	exception
nadmiara	excess
zbytek	excess
zbytni	excessive
ekscesywny	excessive
wymiyniać	exchange
gełda	exchange
podekscytowany	excited
napolynie	excitement
ekscytujōncy	exciting
wyłōnczny	exclusive
ekskluzywny	exclusive
wymōwka	excuse
pretekst	excuse
wybocz	excuse me
wyboczcie	excuse me
wykōnać	execute
wykōnanie	execution
wykōnawczy	executive
ćwiczynie	exercise
wykamać	exhaust
auspuf	exhaust
spotrzebowany	exhausted
wyczyrpany	exhausted
pokazować	exhibit
wystawiać	exhibit
wystawa	exhibition
ausztelōng	exhibition
dotynczasowy	exist
istnieć	exist
istniynie	existence
istniejōncy	existing
wyjście	exit
wychōd	exit
zwiynkszać	expand
ôczekowanie	expect
ôczekować	expect
ôczekowany	expected
wydatki	expenses
drogi	expensive
doświadczynie	experience
eksperymynt	experiment
ekspert	expert
przedowniōny	expired
eklarować	explain
tuplikować	explain
klarować	explain
wyklarowanie	explanation
spotrzebować	exploit
eksplorować	explore
eksport	export
pokozać	expose
wyzdradzić	expose
ôbnażōny	exposed
ôdkryty	exposed
narażynie	exposure
wyrazić	express
ekspresowy	express
ausdruk	expression
rozszyrzić	extend
rozszyrzać	extend
rozszyrzōny	extended
rozszyrzynie	extension
przibudōwka	extension
przedużynie	extension
miara	extent
zakres	extent
zewnyntrzny	external
pōmarły	extinct
ekstra	extra
ekstrakt	extract
niyzwykły	extraordinary
wyjōntkowy	extraordinary
nadzwyczajny	extraordinary
ekstrymalny	extreme
skrajny	extreme
ekstrymalnie	extremely
ôko	eye
ślypia	eyes
ôczy	eyes
sztof	fabric
paradny	fabulous
tworz	face
ulekszać	facilitate
udogodniynia	facilities
ôbiekty	facilities
ôbiekt	facility
fakt	fact
faktōr	factor
fabryka	factory
fakty	facts
znikać	fade
niy zdać	fail
zawiyś	fail
zepsuć sie	fail
przegrany	failed
niypowodzynie	failure
porażka	failure
awaryjo	failure
ômdleć	faint
mdleć	faint
ansztyndich	fair
uczciwy	fair
radszyj	fairly
wrōżka	fairy
wiara	faith
wierny	faithful
podrobiōny	fake
podrōbka	fake
upodek	fall
fałsz	FALSE
fałszywy	FALSE
sława	fame
znajōmy	familiar
familijo	family
rōd	family
głōd	famine
słynny	famous
wiatrok	fan
fan	fan
wymyślaty	fancy
fantastyczny	fantastic
daleko	far
rozestanie	farewell
gospodarka bauersko	farm
bauer	farmer
fascynujōncy	fascinating
moda	fashion
pościć	fast
post	fast
wartko	fast
fet	fat
ruby	fat
darymny	fatal
lōs	fate
ksiōndz	father
ôjciec	father
fater	father
zmynczynie	fatigue
wina	fault
ôblubiōny	favorite
faworyt	favorite
przichylność	favour
ôblubiōny	favourite
faworyt	favourite
strach	fear
lynk	fear
świynto	feast
piōro	feather
funkcyjo	feature
cychy	features
luty	february
rozdrażniōny	fed up
ôpłata	fee
futrować	feed
zwrotno informacyjo	feedback
ôdczucie	feel
czuć	feel
uczucie	feeling
stopy	feet
slecioł	fell
kamrat	fellow
poczuł	felt
samica	female
żyński	female
pot	fence
zegrodzynie	fence
płodny	fertile
festiwal	festival
przinosić	fetch
aportować	fetch
fiber	fever
gorōnczka	fever
niywiela	few
mynij	fewer
szac	fiance
fikcyjo	fiction
pole	field
dōmyna	field
zawziynty	fierce
piytnoście	fifteen
piyńćdziesiōnt	fifty
walczyć	fight
walka	fight
walczōncy	fighting
postać	figure
figura	figure
dōmyślić sie	figure out
zbiōr	file
plik	file
filować	fill
napołniać	fill
wypołnić	fill
wypołniōny	filled
film	film
ôbmaraszōny	filthy
nareście	finally
finance	finance
financowy	financial
znojś	find
wywiadować sie	find out
sztrofa	fine
w porzōndku	fine
wyborny	fine
palec	finger
skōńczyć	finish
skōńczōne	finished
ôgyń	fire
strzylać	fire
fiyrma	firm
jōnderny	firm
piyrszy	first
miano	first name
ryba	fish
pasować	fit
wyszportowany	fit
atak	fit
piyńć	five
sprawić	fix
sprawiać	fix
sprawiyła	fixed
fana	flag
blik	flash
plaskaty	flat
feler	flaw
wyborny	flawless
uciyc	flee
ciało	flesh
lotoł	flew
przewōd	flex
elastyczny	flexible
lot	flight
trzepniyncie	flip
ciyngilyngi	flirt
flirtować	flirting
pływać	float
platforma	float
powōdź	flood
potop	flood
piyntro	floor
sztok	floor
zol	floor
mōnka	flour
przepływ	flow
płynōńć	flow
kwiotek	flower
gripa	flu
biegłość	fluent
biegły	fluent
płynnie	fluently
ciciaty	fluffy
płyn	fluid
mucha	fly
lotać	fly
lecieć	fly
kōncyntrować	focus
mgła	fog
mglisty	foggy
skłodać	fold
ludzie	folks
podōnżać	follow
naśladować	follow
śledzić	follow
powzimać właściwe kroki	follow up
dalszy	following
jodło	food
gupielok	fool
gupi	foolish
stopa	foot
fuzbal	football
dlo	for
do	for
bez przikłod	For example
bez tyn przikłod	for instance
do Ciebie	for you
zabrōniōny	forbidden
siyła	force
zmuszać	force
prognoza	forecast
czoło	forehead
cudzy	foreign
zagraniczny	foreign
las	forest
na dycki	forever
na zawdy	forever
zapōminać	forget
zapōmnieć	forget
wybocz	forgive
wybaczać	forgive
zapōmniołch	forgot
widołka	fork
formować	form
formular	form
forma	form
formalny	formal
były	former
downy	former
na szczyńście	fortunately
fortuna	fortune
sztyrdzieści	forty
sztyrdzieści dwa	forty-two
do przodku	forward
piastować	foster
walczył	fought
fundować	found
znaleziōny	found
zakłodać	found
fundacyjo	foundation
sztyry	four
sztyrnoście	fourteen
lis	fox
kruchy	fragile
rōma	frame
struktura	framework
szulyrstwo	fraud
cudok	freak
darmowy	free
puszczać	free
wolny	free
wolność	freedom
mrozić	freeze
frekwyncyjo	frequency
czynsty	frequent
czynsto	frequently
świyży	fresh
piōntek	friday
lodōwka	fridge
kamrat	friend
przociel	friend
przijazny	friendly
kamraty	friends
kamractwo	friendship
przerażōny	frightened
przerażajōncy	frightening
ôkropiczny	frightening
żaba	frog
ôd	from
z	from
frōnt	front
przodek	front
mrożōny	frozen
ôwoc	fruit
sfrustrowany	frustrated
poliwo	fuel
Fulfulde	Fulfulde
połny	full
zobawa	fun
szpas	fun
uciecha	fun
funkcjōniyrować	function
fungować	function
fundamyntalny	fundamental
pogrzyb	funeral
śmiyszny	funny
sierć	fur
ściykły	furious
noczynie	furniture
dalij	further
pōnadto	furthermore
ôkrōm tego	furthermore
prziszły	future
prziszłość	future
profit	gain
ôsiōngać	gain
szpil	game
luka	gap
garaż	garage
abfale	garbage
hasie	garbage
zygroda	garden
zegrōdek	garden
knobloch	garlic
wrota	gate
sebrać	gather
zbiyrać	gather
grōmada	gathering
miernik	gauge
rubość	gauge
doł	gave
biyg	gear
płeć	gender
ôgōlny	general
jednoroł	general
ôgōlnie	generally
gynerować	generate
gyneracyjo	generation
szczodliwy	generous
gyniusz	genius
gatōnek muzyczny	genre
delikatny	gentle
autyntyczny	genuine
gest	gesture
dostać sie	get
dostać	get
ôblyc sie	get dressed
stanōńć	get up
stować	get up
zdrowiyj wartko	get well soon
dostowanie	getting
duch	ghost
ghosting	ghosting
ôgrōmny	giant
gyszynk	gift
zozwōr	ginger
dzioucha	girl
dzioucha	girlfriend
dować	give
poddać sie	give up
poddować sie	give up
dany	given
kōntynt	glad
kuknōńć	glance
szkło	glass
bryle	glasses
dojzdrzeć	glimpse
światowy	global
merski	gloomy
rynkawice	gloves
rynkawiczki	gloves
blask	glow
blik	glow
wyszwarnieć	glow up
lepidło	glue
klyj	glue
iś	go
pōjś	go
idź dalij	go ahead
idź do przodku	go ahead
idź stōnd	go away
iś do betu	go to bed
iś spać	go to bed
tor	goal
cyl	goal
cweki	goals
cyle	goals
tory	goals
koza	goat
bōg	god
niych cie Bōg bogosławi	god bless you
idzie	goes
pōjście	going
zamierzōm	going to
złoto	gold
złoty	gold
stracōny	gone
zamierzać	gonna
breja	goo
dobre	good
dobry	good
dziyń dobry	good afternoon
do widzynio	good bye
dobry dziyń	good day
dobry wieczōr	good evening
dobro robota	good job
szwarny	good looking
gryfny	good looking
powodzynie	good luck
dziyń dobry	good morning
dziyń dobry, serce moje	good morning my love
dobranoc	good night
do widzynio	goodbye
dobranoc	goodnight
dobra	goods
Google	Google
Przekłodocz Google	Google Translate
gyńś	goose
szumny	gorgeous
klachy	gossip
klajtury	gossip
dostoł	got
dostany	got
rozumia	got it
regyrōnek	government
chytać	grab
chycić	grab
stopiyń	grade
stopniowo	gradually
kōńczyć sztudyjo	graduate
absolwynt	graduate
ziorno	grain
sztypyndium	grant
grant	grant
prziznować	grant
nadany	granted
winogrōno	grapes
chyt	grasp
chytać	grasp
trowa	grass
wdziynczny	grateful
wdziynczność	gratitude
grōb	grave
siwy	gray
ekstra	great
szumny	great
wielki	great
chciwość	greed
pragliwy	greedy
zielōny	green
zielyń	green
powitać	greet
powitanie	greeting
pozdrowiynio	greetings
siwy	grey
nec	grid
żol	grief
mleć	grind
chyt	grip
sklep spożywczy	grocery
pōn mody	groom
brutto	gross
ôszkliwy	gross
grōnt	ground
mielōny	ground
grupa	group
chować	grow
hodować	grow
rōś	grow
wzrōst	growth
zmiyrzły	grumpy
Guarani	Guarani
gwarancyjo	guarantee
wachtyrz	guard
przipuszczynie	guess
gość	guest
przewodnictwo	guidance
doradnictwo	guidance
kludzić	guide
ôkludzocz	guide
winny	guilty
chop	guy
chopcy	guys
siyłownia	gym
pakerhala	gym
zwyk	habit
siydlisko	habitat
mioł	had
wołać	hail
grod	hail
wos	hair
wosy	hair
połowa	half
hala	hall
rynka	hand
wiedzieć sie rady	handle
grif	handle
szwarny	handsome
gryfny	handsome
powiesić	hang
wieszać	hang
przepyndzać czas	hang out
wywiyszać	hang out
stoć sie	happen
stało sie	happened
szczyńście	happiness
radosny	happy
szczyńśliwy	happy
sto lot	happy birthday
wszyjskigo nojlepszego skuli gyburstagu	happy birthday to you
wszyskigo nojlepszego w Nowym Roku	happy new year
ciynżki	hard
twardy	hard
ledwa	hardly
bezma nigdy	hardly ever
krziwda	harm
krziwdzić	harm
szkodliwy	harmful
harmōnijo	harmony
chropaty	harsh
surowy	harsh
zbiōr	harvest
mo	has
niynawidzić	hate
niynawiść	hate
mieć	have
miyłego dnia	have a good day
miyłego dnia	have a nice day
zjeś śniodanie	have breakfast
bow sie dobrze	have fun
jod żeś?	have you eaten
majōncy	having
ryzyko	hazard
mgła	haze
ôn	he
ôn mo	he has
ôn je	he is
gowa	head
głowny	head
bōl gowy	headache
utropa	headache
lyczyć	heal
zdrowiynie	healing
zdrowie	health
zdrowy	healthy
słyszeć	hear
słyszany	heard
usłyszoł	heard
serce	heart
ciepło	heat
wor	heat
hica	heat
niebo	heaven
ciynżki	heavy
nerwowy	hectic
wysokość	height
erb	heir
napad	heist
trzimoł	held
trzimany	held
piekło	hell
Cześ	Hello
Witej	Hello
Serwus	Hello
witej, dziubku	hello dear
witej, jak sie mosz	hello how are you
witej, jak sie mosz	hello how are you doing
kask	helmet
pōmogać	help
pōmoc	help
pōmocny	helpful
beztōż	hence
jōm	her
jeji	her
stado	herd
sam	here
tukej	here
erbizna	heritage
faklować	hesitate
Cześ	Hey
Te	Hey
Witej	Hey
Cześ	Hi
Witej	Hi
Serwus	Hi
witej, jak sie mosz	hi how are you
Witej	Hi there
skryty	hidden
skryć	hide
ukrywać	hide
hierarchijo	hierarchy
wysoki	high
atrakcyjo	highlight
ausflug	hike
turystyka piechty	hiking
ucieszny	hilarious
kympa	hill
jego	him
go	him
skazōwka	hint
biedro	hip
biedra	hips
nojmować	hire
nojmowanie	hiring
jego	his
historyjo	history
trzasnōńć	hit
szlag	hit
Hmm	Hmm
hobby	hobby
trzimać	hold
trzimać sie	hold on
ôtwōr	hole
feryje	holiday
prōzny	hollow
wklynsły	hollow
dōm	home
w dōma	home
zadanie dōmowe	homework
szczyry	honest
ansztyndich	honest
szczyrze	honestly
Dziubek	Honey
Miōd	Honey
hōnor	honor
kapuca	hood
hok	hook
skokać	hop
chmiyl	hop
skok	hop
nadzieja	hope
mieć nadzieja	hope
miyjmy nadzieja	hopefully
z najdziejōm	hopefully
darymny	hopeless
poziōmy	horizontal
klaksōn	horn
ôkropny	horrible
potworny	horrible
ôszkliwy	horrible
przerożynie	horror
kōń	horse
lazaryt	hospital
szczyrość	hospitality
gospodorz	host
gościć	host
wrogi	hostile
gorki	hot
hotel	hotel
godzina	hour
godziny	hours
dōm	house
familijo	household
dōm	household
jak	how
a ty	how about you
jak tam	how are you
jak sie mosz	how are you
co dobrego	how are you doing
jak leci	how are you doing
Jak sie mosz dzisiej?	how are you doing today
jak sie dzisiej mosz	how are you today
jak sie mosz	how do you do
jak je	how is
wiela	how many
wiela	how much
jak czynsto	how often
wiela ci je lot	how old are you
jaki żeś je stary	how old are you
jak ci minōł dziyń	how was your day
jak ci noc przeszła	how was your night
ale	however
jednak	however
ino że	however
cyntrum	hub
buksa	hub
chop	hubby
przitulynie	hug
uścisk	hug
ôgrōmny	huge
wielki	huge
czowiek	human
skrōmny	humble
wilgły	humid
wilgłość	humidity
sto	hundred
głodny	hungry
gōn	hunt
huragan	hurricane
uwijać sie	hurry
pośpiesz sie	hurry up
zraniōny	hurt
ranny	hurt
ślubny	husband
chop	husband
uwijaczka	hustle
ciś	hustle
rejwach	hustle
lauba	hut
chałpa	hut
higiyna	hygiene
Jo	I
je żech	I am
Niy mie niy ma	I am fine
moga	I can
niy moga	I can't
niy poradza	I can't
Jo ja	I do
Jo robia	I do
Niy wiym	I do not know
niy rozumia	I do not understand
niy poradza spokopić	I do not understand
jo niy	I don't
Niy wiym	I don't know
Niy poradza spokopić	I don't understand
Niy rozumia	I don't understand
Niy miarkuja	I don't understand
co mosz na myśli	I don't understand what you mean
Niy rozumia	I don't understand what you mean
Niy poradza cie spokopić	I don't understand you
Niy rozumia cie	I don't understand you
niy wiym	I don’t know
Niy poradza spokopić	I don’t understand
Niy rozumia	I don’t understand
zdo mie sie	i guess
chyba	i guess
miołch	I had
mioł żech	I had
miołech	I had
jo mōm	I have
bōłch	I have been
mōm nadzieja	I hope so
Wiym	I know
lubia	I like
mōm cie rod	I like you
Przaja	I love
przaja mojymu starszymu bracikowi	I love my big brother
przaja mojij starszyj siostrze	I love my big sister
przaja mojimu ôjcu	I love my father
przaja mojimu modszymu bracikowi	I love my little brother
przaja mojij modszyj siostrze	I love my little sister
przaja mojij matce	I love my mother
Przaja ci	I love you
Miyłuja cie fest	I love you so much
jo ciebie  tyż przaja	I love you too
to znaczy	I mean
Teschno mi za tobōm	I miss you
Fest mi za tobōm teschno	I miss you so much
jo widza	I see
widza	I see
jo myśla	I think
rozumia	I understand
jo chca	I want
chca	I want
chca cie zoboczyć	I want to see you
chca ciebie	I want you
bōłech	I was
bōłżech	I was
bōłch	I was
Byda	I will
bōł bych	I would be
Je żech	I'm
Nic mi niy ma	I'm fine
U mie dobrze	I'm fine
U mie dobrze	I'm good
je żech tukej	I'm here
jestech tukej	I'm here
je żech sam	I'm here
Wyboczcie	I'm sorry
Przeproszōm	I'm sorry
Wybocz	I'm sorry
lōd	ice
lody	ice cream
idyjo	idea
idyał	ideal
gynau taki	identical
idyntyczny	identical
idyntyfikować	identify
zidyntyfikować	identify
tożsamość	identity
idiōt	idiot
bezczynny	idle
jak	if
jeźli	if
ignorować	ignore
chory	ill
niymocny	ill
niylegalny	illegal
niymoc	illness
choroba	illness
Ilocano	Ilocano
ôbroz	image
forsztelować sie	imagine
niyzawodny	immediate
niyzawodnie	immediately
zaroz	immediately
ôd razu	immediately
ôgrōmny	immense
wpływ	impact
niyciyrpliwy	impatient
wkludzać	implement
norzyńdzie	implement
import	import
ważny	important
naciepować	impose
niymożliwy	impossible
impōnować	impress
wrażynie	impression
impōnujōncy	impressive
ulepszać	improve
poprawiać	improve
poprawa	improvement
w	in
we	in
pōnadto	in addition
Tak doprowdy	In fact
Na isto	In fact
W rzeczywistości	In fact
przed	in front of
coby	in order to
chwanciorski	inappropriate
zachynta	incentive
incydynt	incident
włōnczać	include
w tym	including
dochōd	income
niywygodność	inconvenience
wzrōst	increase
zwiynkszōny	increased
niywiarogodny	incredible
richtich	indeed
toć	indeed
niyzawisły	independent
niyznoleżny	independent
Indyjo	India
skozać	indicate
drzynny	indigenous
indywidualny	individual
industryjo	industry
niyunikniōny	inevitable
dzieciōntko	infant
infekcyjo	infection
niyskōńczōność	infinity
zapolynie	inflammation
inflacyjo	inflation
wpływ	influence
poinformiyrować	inform
informacyjo	information
wiadōmość	information
skłodniki	ingredients
erbizna	inheritance
stympny	initial
poczōntkowy	initial
inicjatywa	initiative
ranny	injured
rana	injury
kōntuzyjo	injury
niywinny	innocent
innowacyjo	innovation
zapytanie	inquiry
podszukōnek	inquiry
ôbłōnkany	insane
szalōny	insane
ôwad	insect
niypewny	insecure
wstawić	insert
we postrzodku	inside
postrzodek	inside
wglōnd	insight
nalygać	insist
bezsynność	insomnia
inspiracyjo	inspiration
inspirować	inspire
zainstalować	install
instancyjo	instance
chwila	instant
niyzawodny	instant
zamiast	instead
zamiast	instead of
instrukcyje	instructions
insztrumynt	instrument
ôbelga	insult
ferzicherōng	insurance
niyruszōny	intact
uczciwość	integrity
intelektualny	intellectual
inteligyncyjo	intelligence
inteligyntny	intelligent
zamiyrzać	intend
przeznaczōny	intended
intynsywny	intense
zamior	intention
wpływać	interact
interakcyjo	interaction
zainteresowanie	interest
ôdsetki	interest
interesantny	interested
interesujōncy	interesting
ingerować	interfere
postrzedni	intermediate
wnōntrzny	internal
miyndzynorodowy	international
praktyka	internship
interpretować	interpret
przekłodocz	interpreter
przerywać	interrupt
wywiod	interview
intymny	intimate
do	into
wkludzić	introduce
wkludzać	introduce
stymp	introduction
introwertyk	introvert
intuicyjo	intuition
niywożny	invalid
wynalazek	invent
wynojś	invent
spis	inventory
inwyntorz	inventory
inwestować	invest
zbadać	investigate
zaproszynie	invitation
zaproszać	invite
faktura	invoice
zaangażyrować	involve
angażyrować	involve
zaangażyrowany	involved
żelazny	iron
biglować	iron
żelazo	iron
je	is
wyspa	island
ôdosobniōny	isolated
problym	issue
kwestyjo	issue
kwestyje	issues
to	it
to je	it is
to było	it was
to je	it's
w porzōndku	it's ok
Je w porzōndku	It's okay
przedmiot	item
rzeczy	items
jego	its
swōj	its
je żech	I’m
jakla	jacket
hreszt	jail
styczyń	January
krauza	jar
szczynka	jaw
zowistny	jealous
tuk	jerk
szarpać	jerk
biżuteryjo	jewelry
robota	job
jogging	jogging
lotanie	jogging
przistympować	join
przistōmpić	join
kuplować	join
spōlny	joint
wic	joke
dziynnikorz	journalist
rajza	journey
radość	joy
syńdzia	judge
sōńdzić	judge
zoft	juice
lipiyń	july
skok	jump
czyrwiyń	june
klamory	junk
hasie	junk
sprawiedliwy	just
po prostu	just
po prostu to zrōb	just do it
sprawiedliwość	justice
dowodzić	justify
Kalaallisut	Kalaallisut
rod	keen
chyntny	keen
kust	keep
zachować	keep
tak trzimej	keep it up
trzimane	kept
czajnik	kettle
klucz	key
kopniyncie	kick
bajtel	kid
dziecko	kid
szpasuja	kidding
nyrka	kidney
bajtle	kids
dzieci	kids
dziecka	kids
zabić	kill
zabijać	kill
zorta	kind
uprzyjmy	kind
trocha jak	kinda
sprownie	kindly
życzliwość	kindness
krōl	king
kusik	kiss
pocałōnek	kiss
całować	kiss
kuchnia	kitchen
drach	kite
kocik	kitten
kolano	knee
wiedzioł	knew
nōż	knife
rycerz	knight
wiedzieć	know
wiedza	knowledge
znany	known
Konkani	Konkani
Krio	Krio
etyketa	label
robota	labor
robota	labour
brak	lack
drabina	ladder
pani	lady
położōny	laid
jezioro	lake
baranina	lamb
jagnia	lamb
darymny	lame
szpotlawy	lame
lampa	lamp
kroj	land
grōnt	land
ziymia	land
landszaft	landscape
jynzyk	language
ôbkrōnżynie	lap
klin	lap
srogi	large
twać	last
ôstatni	last
niy mynij ważny	last but not least
nazwisko	last name
niyżyjōncy	late
niyskory	late
niyskoro	late
ostatnio	lately
niyskorzij	later
nojnowszy	latest
kōńcowy	latter
śmiych	laugh
śmiōnie	laughing
śmiych	laughter
zaczōntek	launch
zaczynać	launch
pranie	laundry
prawo	law
trownik	lawn
adwokat	lawyer
prawnik	lawyer
kłaś	lay
lygać	lay
położyć	lay
worsztwa	layer
ukłod	layout
lyniwy	lazy
kludzić	lead
prowadzić	lead
lider	leader
listek	leaf
przeciykać	leak
przeciyk	leak
ôpiyrać	lean
skok	leap
uczyć sie	learn
uczynie sie	learning
nojym	lease
nojmynij	least
skōra	leather
ôdyjś	leave
ôdchodzić	leave
ôstawio	leaves
liście	leaves
wychodzi	leaves
kludzōny	led
lewy	left
lewo	left
noga	leg
runda	leg
erbizna	legacy
legalny	legal
prawny	legal
legynda	legend
legalny	legit
wywczas	leisure
ôdpoczynek	leisure
życzać	lend
dugość	length
mynij	less
lekcyjo	lesson
niych	let
przizwolać	let
litera	letter
wykoz	letter
brif	letter
szałot	lettuce
poziōm	level
wpływ	leverage
zapowiedzialność	liability
ôciōnżynie	liability
bibliotyka	library
lizać	lick
ôszyda	lie
kłamać	lie
ôszydy	lies
życie	life
dźwigać	lift
aufcug	lift
leki	light
światło	light
blic	lightning
pierōn	lightning
mieć rod	like
jak	like
prowdopodobnie	likely
prowdopodobny	likely
podobnie	likewise
wzajymnie	likewise
lynijo	line
raja	line
lina	line
Lingala	Lingala
połōnczyć	link
lew	lion
płyn	liquid
wykoz	list
suchać	listen
suchajōncy	listening
gynau	literally
dosłownie	literally
literatura	literature
abfale	litter
hasie	litter
mały	little
żyć	live
na żywo	live
wōntroba	liver
żyje	lives
żyjōncy	living
wielgo izba	living room
salōn	living room
loszczurka	lizard
ladōnek	load
ladować	load
pecynek	loaf
bochynek	loaf
pōmp	loan
pożyczka	loan
borg	loan
lokalny	local
położynie	location
zōmek	lock
zawiyrać	lock
izolacyjo	lockdown
dziynnik	log
szajta	log
lol	lol
samotny	lonely
dugi	long
dugo	long
downo sie niy widzieli my	long time no see
wyglōnd	look
wyglōndać	look
patrzeć	look
pyntla	loop
luzem	loose
wolny	loose
niedbały	loose
grof	lord
pōn	lord
przegrować	lose
tracić	lose
stracić	lose
strata	loss
zaginiōny	lost
dolo	lot
działka	lot
głośny	loud
salōnik	lounge
miyłość	love
przaja ci	love you
miyłuja cie	love you
śliczny	lovely
nisko	low
niski	low
niżyj	lower
dolny	lower
ôpuszczać	lower
lojalny	loyal
lojalność	loyalty
szczyńście	luck
szczyńsliwy	lucky
Luganda	Luganda
bagaża	luggage
chachar	lump
ôbiod	lunch
puca	lungs
luksus	luxury
ôszydny	lying
maszina	machine
szalōny	mad
zgorszōny	mad
Zocno Pani	madam
zrobiōny	made
magazyn	magazine
czasopismo	magazine
spaniały	magnificent
dziywka	maid
głowny	main
utrzimać	maintain
utrzimować	maintain
kōnserwacyjo	maintenance
utrzimanie	maintenance
Maithili	Maithili
majōr	major
głowny	major
wiynkszość	majority
robić	make
makijaż	make up
samiec	male
chopski	male
cyntrum handlowe	mall
czowiek	man
chop	man
zarzōndzać	manage
kerownictwo	management
mynedżer	manager
musowy	mandatory
pokazować	manifest
ôczywisty	manifest
manipulować	manipulate
spōsōb	manner
podryncznik	manual
moc	many
wiela	many
moc nojlepszych powińszowań	many many happy returns of the day
moc	many many happy returns of the day
marsz	march
kroj	margin
margines	margin
rynek	market
małżyństwo	marriage
żyniaty	married
maska	mask
maskiyrować	mask
mszo	mass
masa	mass
masywny	massive
pōn	master
majster	master
pasować	match
szpil	match
sztrahecla	match
spōłkować	mate
koleks	mate
materyjo	material
matymatyka	math
sprawa	matter
materyjo	matter
dojzdrzałość	maturity
może	may
mōno	maybe
może	maybe
możno	maybe
mi	me
mie	me
jo	me
jo tyż	me too
posiyłek	meal
podły	mean
znaczyć	mean
mieć na myśli	mean
znaczynie	meaning
ôznaczo	means
przeznaczōny	meant
znaczy	meant
zatynczas	meanwhile
zmierzić	measure
mierzić	measure
strzodki	measures
miynsny	meat
miynso	meat
medyczny	medical
medycyna	medicine
lyk	medicine
medytacyjo	meditation
postrzedni	medium
trefić	meet
tref	meet
trefiać	meet
tref	meeting
Meiteilon	Meiteilon
stopić	melt
spōmniynio	memories
pamiyńć	memory
psychiczny	mental
spōminka	mention
spōminać	mention
spōmniany	mentioned
myntor	mentor
kupiec	merchant
łaska	mercy
ino	merely
zaledwie	merely
radosnych godnich świōnt	merry christmas
radosnych Godōw	merry christmas
bajzel	mess
mszo	mess
wiadōmość	message
niyôkludny	messy
metal	metal
metoda	method
myszy	mice
postrzodek	middle
postrzedni	middle
pōłnoc	midnight
może	might
siyła	might
łagodny	mild
kamyń milowy	milestone
wojskowy	military
mlyko	milk
milijōn	million
pamiyntać	mind
usōndek	mind
spōsōb myślynio	mindset
gruba	mine
mōj	mine
miyszać sie	mingle
małoletni	minor
myńszy	minor
minuta	minute
minuty	minutes
cud	miracle
zdrzadło	mirror
roztōmajty	miscellaneous
złośliwy	mischievous
misterny	miserable
lichy	miserable
niyszczyńście	misery
teschnić	miss
przepōmnieć	miss
brakować	miss
cni mi sie do ciebie	miss you
teschni mi sie za tobōm	miss you
brakujōncy	missing
zaginiōny	missing
misyjo	mission
mgła	mist
feler	mistake
błōnd	mistake
Mizo	Mizo
mobilny	mobile
naśmiywać	mock
naśmiywka	mock
model	model
modelowy	model
miyrny	moderate
moderny	modern
skrōmny	modest
wilgły	moist
wilgłość	moisture
pleś	mold
kret	mole
mama	mom
muter	mom
mōmynt	moment
pyńdziałek	monday
pijōndze	money
pijōndz	money
mōnitorować	monitor
mōnitōr	monitor
afa	monkey
małpica	monkey
miesiōnc	month
launa	mood
przebiyrny	moody
miesiōnczek	moon
morał	moral
wiyncyj	more
ôkrōm tego	moreover
rano	morning
hipoteka	mortgage
nojbarzij	most
z wiynksza	mostly
matka	mother
mama	mother
ruch	motion
motywacyjo	motivation
gōra	mountain
mysza	mouse
usta	mouth
przenosić	move
ruszać	move
ruch	move
ruch	movement
film	movie
pani	mrs
srogo	much
maras	mud
kubek	mug
miynsiyń	muscle
muzeum	museum
grzib	mushroom
muzyka	music
musieć	must
niymy	mute
wzajymny	mutual
mōj	my
mōj dziubku	My dear
mōj kamrat	my friend
Mōj poduszkowiec je połny alōw	My hovercraft is full of eels
mōj dziubek	my love
moja miyłość	my love
mianuja sie	my name is
cołko przijymność po mojij strōnie	my pleasure
jo	myself
tajymny	mysterious
tajymnica	mystery
mit	myth
nagel	nail
najiwny	naive
miano	name
mianować	name
narracyjo	narrative
wōnski	narrow
ôszkliwy	nasty
krajowo	national
norodowość	nationality
miyszkaniec	native
drzynny	native
wrodzōny	native
naturalny	natural
natura	nature
mdłość	nausea
blisko	near
po blisku	nearby
blisko	nearby
bezma	nearly
ôkludny	neat
niyzbyndny	necessary
zdatny	necessary
kark	neck
pociorki	necklace
potrzeba	need
potrzebować	need
negatywny	negative
zaniydbanie	neglect
negocjować	negotiate
sōmsiod	neighbor
sōmsiedztwo	neighborhood
żodyn	neither
siostrzyniec	nephew
gupielok	nerd
nerd	nerd
nerwowy	nervous
gniozdo	nest
siyć	net
nec	net
nec	network
neutralny	neutral
nigdy	never
nigdy sie niy poddowej	never give up
niywożne	never mind
niywożne	nevermind
ale	nevertheless
jednak	nevertheless
nowy	new
wiadōmość	news
nastympny	next
kole	next to
miyły	nice
przijymny	nice
