abandoned	qimataq
explain	nassuiaat
explanation	nassuiaat
exploit	atorluaaneq
explore	alliartortoq
export	avammut tunisineq
exposed	kinguartippaa
expose	kinguartippaa
exposure	qaammarfigititsineq
expression	takutitsineq
express	qanoq misiginermik nassuiaat
extended	annertusisaq
extend	sivitsorpaa
extension	siammarterineq
extent	qaffasissusaa
external	silataa
extinct	nungunnikut
extra	alla saniatigut
extract	naalisagaq
extraordinary	immikkut ittoq
extremely	assorujussuaq
extreme	sakkortooq
eye	isi
eyes	isit
fabric	annoraamineq
fabulous	kusanaq
face	kiinaq
facilitate	tigivoq
facilities	atortorissaarutit
facility	piginnaassuseq
factor	pissut
factory	tunisassiorfik
facts	piviusut
fact	tunngavik
fade	satsippaa
fail	ajutoorpoq
failed	ajutoorpoq
failure	iluatsinngitsoq
faint	sanngiitsoq
fairly	naapertuilluartoq
fair	naammaginarpoq
fairy	arnaq sapigaatsoq
faithful	tatiginartoq
faith	upperaa
fake	ilumuunngitsoq
fall	nakkarpoq
false	kukkuvoq
fame	tusaamasaq
familiar	ilisarnartoq
family	ilaquttat
famine	kaannersuaq
famous	tusaamasaq
fancy	akisooq
fan	nuannaartorinnittoq
fantastic	torrassuaq
farewell	inuulluarna
farmer	naasorissaasoq
farm	naasorissaasoq
far	ungasissoq
fascinating	isumassarsinartoq
fashion	muteq
fast	aaliagersimasoq
fatal	kamanaatsoq
fate	inuup inuunermini atugai
father	ataata
fatigue	qasujaneq
fat	pualasooq
fault	pisuussut
favorite	nuannarinerusaq
favour	ajunngisaarneq
favourite	nuannarinerusaq
fear	annilaaganeq
feast	nalliuttorsiorneq
feather	meqquluat
feature	atortut
features	atortui
february	februari
fed up	puallarserpoq
fee	akitsuut
feedback	utertitsiviginninneq
feed	nerisippaa
feeling	misigissuseq
feel	misigisoq
feet	isikkat
fell	misigaa
fellow	angut
felt	misigaa
female	arnaq
fence	ungaluukkat
fertile	Naggorissoq
festival	festivaali
fetch	aavaa
fever	kissarneqarpoq
few	amerlanngitsut
fewer	ikinnerit
fiance	pissiaq
fiction	oqaluttualiaq
field	allaffissaq
fierce	peqqarniitsoq
fifteen	femten
fifty	halvtreds
fight	assortuunneq
fighting	unammisut
figure	iIluseq
figure out	paasivaa
file	fiili
filled	immersorneqareersoq
fill	immerpaa
film	isiginnaagassiaq filmi
filthy	ipertooq
finally	kiisami
finance	aningaasaqarneq
financial	aningaasaqarnikkut
find out	paasivaa
find	ujaruk
fine	ajunngilaq
finger	inuak
finished	naammassivoq
finish	naammassivoq
fire	inneq
firm	firma
first name	ateq siulleq
first	siulleq
fish	aalisagaq
fit	naammattoq
five	tallimat
fix	aaqqippaa
fixed	aaqqissuunneqareerpoq
flag	aappalaartoq
flash	qaammaallanneq
flat	inissiaq
flaw	kukkuneq
flawless	kukkuneqanngitsoq
flee	qimaavoq
flesh	neqi
flew	qingivoq
flexible	sungiussiasoq
flex	peqippoq
flight	timmisartuussineq
flip	Amumippaa
flirting	qaninniarneq
flirt	qaninniarneq
float	puttavoq
flood	kuuk
floor	nateq
flour	sioraasat
flower	naasoq
flow	ulikkaarpoq
fluent	imerpalasoq
fluently	oqallorippoq
fluffy	soorlu
fluid	imerpalasoq
flu	nualluut
fly	timmivoq
focus	ukkassineq
foggy	putsertoq
fog	pujoq
fold	imusaq
folks	inuinaa
following	malinnaavingaa
follow	malinnaavigaa
follow up	nangitsineq
food	nerisassat
foolish	isumaatsoq
fool	sianiitsoq
football	arsaanneq
foot	isigak
forbidden	inerteqqutaavoq
force	pissaaneq
forecast	silassaq
forehead	qaaq
foreign	nunanit allanit
forest	orpippassuit
forever	qaqugumut
For example	assersuutigalugu
forget	Puigorpaa
forgive	isumakkeerfiginninneq
forgot	puigorpaa
for instance	assersuutigalugu
fork	ajassaat
formal	najoqqutassiaq
former	siornatigut
form	iluseq
fortunately	ajoraluartumik
fortune	aningi
forty	fyrre
forty-two	toogfyrre
for	uunga
forward	siumut
for you	ilinnut
foster	pilersippaa
fought	akersuuppoq
foundation	tunngavik
found	nassaaraa
four	sisamat
fourteen	fjorten
fox	terianniaq
fragile	qajannartoq
frame	sinaa
framework	sinaakkutat
fraud	uukapaatitsilluni salloqittaaneq
freak	eqqumiitsoq
freedom	kiffaanngissuseq
free	frii
freeze	qerisoq
frequency	akulikissuseq
frequent	aalakkaasoq
frequently	akulikitsumik
fresh	nutaaq
friday	tallimanngorneq
fridge	nillataartitsivik
friend	ikinngut
friendly	inussiarnersoq
friendship	Ikinngutigiinneq
friends	ikinngutit
frightened	ersivoq
frightening	ersinaq
frog	naraseq
from	uannga
front	saava
frozen	qerisoq
fruit	naatitat
frustrated	kamaqqavoq
fuel	ikummatissaq
Fulfulde	Fulfulde
full	ulikkaarpoq
function	atorfik
fundamental	pingaarluinnartoq
funeral	ilisineq
fun	nuanneq
funny	illarnaq
furious	kamappoq
furniture	pisattat
further	ilanngullugit
furthermore	suli siumut
fur	uumasut meqqui
future	siunissaq
gain	pinnatat
game	pinnguaat
gap	putoq
garage	garage
garbage	eqqagassat
garden	naatsiivik
garlic	hvidløgeq
gate	isertarfik
gathering	katerinneq
gather	katersukkat
gauge	uuttortaat
gave	tunniuppaa
gear	geari
gender	suiaassuseq
general	ataatsimut isigalugu
generally	ataatsimut isigalugu
generate	sanavaa
generation	kinguaariit
generous	tukkortoq
genius	pikkorissoq
genre	suussusaa
gentle	saamasumik
genuine	ilumoortoq
gesture	assaat aalaneri
get dressed	atisalersorit
get	pivaa
getting	pissarsiaraa
get up	makippoq
get well soon	peqqissilluarina
ghost	aliortuaq
ghosting	aliortuaq
giant	angisoorsuaq
gift	tunissut
ginger	ingefæri
girlfriend	arnaat
girl	niviarsiaraq
given	tunniussaq
give	tunniuppaa
give up	tunniutiinnarpoq
glad	nuannaarpoq
glance	qissiminneq
glasses	isarussat
glass	immiartorfik
glimpse	qaammaallanneq
global	nunarsuaq tamakkerlugu
gloomy	tarrajuttoq
gloves	aaqqatit
glow	aamaq
glow up	aamaarpoq
glue	liimmi
go ahead	taamaaliorniannguarit
goal	anguniagaq
goals	anguniakkat
goat	kavaajaasaq
go away	peerniarit
god	ajunngilaq
god bless you	Guutip pilluaqqulitit
goes	ingerlavoq
go	ingerlagit
going	ingerlavoq
going to	uunngarpoq
gold	gulti
gone	tammarpoq
goo	aallarit
good afternoon	unnussiorluarna
good	ajunngilaq
goodbye	inuulluarit
good bye	inuulluarna
good day	ulloq atorluariuk
good evening	unnussiorluarina
good job	suliaq torrak
good looking	isikkorik
good luck	iluatsitsilluarina
good morning	iterluarit
good morning my love	asasara iterluarit
good night	sinilluarit
goodnight	sinilluarna
goods	taqussat
Google	Google
Google Translate	Google Translate nutserut
goose	nerleq
gorgeous	kusanarpoq
gossip	ingutsineq
got it	piguara
go to bed	innarniarit
got	pivaa
government	naalakkersuisoqarfik
grab	tiguaa
grade	qaffasissusaa
gradually	tulleriiakannerlugit
graduate	ilinniarnermik naammassineq
grain	karrit
granted	tunniussaq
grant	tunniuppaa
grapes	vindruat
grasp	paasinninneq
grass	naasut
grateful	qujamasuppoq
gratitude	qujamasunneq
grave	iliveq
gray	qasersoq
great	torrak
greed	peqqarniisaarneq
greedy	innimiitsoq
green	qorsorpaluttoq
greet	ilassineq
greeting	ilassinninneq
greetings	ilassinninnerit
grey	qasersoq
grid	ungaloq
grief	aliasunneq
grind	qalipaaneq
grip	tigusineq
grocery	niuertoq
groom	uitaassaq
gross	ilanngaateqanngitsumik
ground	naqqa
group	eqimattaq
grow	ineriartortoq
growth	alliartorpoq
grumpy	eqiasuttoq
Guarani	Guarani
guarantee	qularnaveeqqut
guard	paarsisoq
guess	eqqoriaruk
guest	pulaartoq
guidance	ilitsersuut
guide	ilitsersuut
guilty	pisuusoq
guy	angut
guys	angutit
gym	eqaarsaarneq
habitat	najugaq inuuffigisaq
habit	ileqqoq
hail	nataqqornat
hair	nujat
half	affaa
hall	inersuaq
hand	assak
handle	qanoq iliusissaqarneq
handsome	kusanarpoq
hang	nivigavoq
hang out	peqatigisaqarneq
happened	pereerpoq
happen	pisimasoq
happiness	nuannaarneq
happy birthday	inuuvinni pilluarit
happy birthday to you	inuuvinni pilluarit
happy new year	ukiortaami pilluarit
happy	nuannaarpoq
hardly ever	kingorna sakkortuumik
hardly	sakkortuumik
hard	manngerpoq
harm	ajoquserneq
harmful	ajoqutaasoq
harmony	harmonii
harsh	sakkortuut
harvest	katersuineq
hate	qinngarsuineq
have a good day	ulloq atorluariuk
have a nice day	ulloq atorluariuk
have breakfast	ullaakkorsiorama
have fun	nuannisarina
have	peqarpoq
have you eaten	nerigavit
having	pigai
hazard	navianartoq
haze	iseriak
headache	niaqorlunneq
head	niaqoq
healing	peqqissineq
heal	mamippoq
health	peqqissuseq
healthy	peqqissoq
heard	tusarneqarpoq
hear	tusarpaa
heart	uummat
heat	kiak
heaven	qilak
heavy	oqimaatsoq
hectic	ulapittoq
height	angissuseq
heir	kingornussisussaq
he is	angut taamaappoq
heist	tillinniarneq
held	iluatsitsineq
Hello	Aluu
hello dear	aluu asasara
hello how are you	aluu qanoq ippit
hello how are you doing	aluu qanoq ippit
hell	toornaarsivik
helmet	hjelmeq
helpful	ikiuutaavoq
help	ikiu
hence	taamaammat
herd	ataatsimoortut
here	uani
heritage	kingornussassaq
hesitate	sapinngilaa
Hey	Aluu
Hi	Aluu
hidden	toqqoqqasoq
hide	toqqortoq
hierarchy	inuiaqatigiinni qullersaqarlunilu allersaqarneq
highlight	qaamaneq sakkortooq
high	portuvoq
hi how are you	aluu qanoq ippit
hike	pisuttuarneq
hiking	pisuttuarneq
hilarious	quianarluinnartoq
hill	qummukajaaq
hint	oqariartuutigineqartoq
hip	siffissat
hips	siffissat
hire	atorfinitsippaa
hiring	atorfinitsippaa
history	oqaluttuaq
hit	eqqoruk
Hi there	aluukkut
Hmm	Hmm
hobby	sunngiffimmi sammisaq
hold on	najummatserit
hold	unigit
hole	putoq
holiday	ferierneq
hollow	putoq
home	sngerlarsimaffik
homework	ilinniagassat
honest	ilumoorneq
honestly	unneqqarissumik
Honey	Inguttaap sukkua
honor	ataqqinartoq
hood	nasaasaq
hook	akkersaq
hopefully	neriuutigaa
hopeless	pakatsinarpoq
hope	neriiuut
hop	pissippoq
horizontal	nallarissoq
horn	siggartaat
horrible	ajorluinnarpoq
horror	ersinersuaq
horse	hiisti
hospitality	inussiarnisaarneq
hospital	napparsimmavik
hostile	akeqqersimasoq
host	qaaqqusisoq
hotel	unnuisarfik
hot	kusanartoq
hour	nalunaaquttap akunnera
hours	nalunaaquttap akunneri
household	illoqutigiit
house	illu
how about you	illimmi
how are you doing	ajunngilatit
how are you doing today	ullumikkut qanoq ippit
how are you	qanoq ippit
how are you today	ullumikkut qanoq ippit
how do you do	qanoq ippit
however	qanorluunniit
how is	qanoq ippa
how many	qassit
how much	qanoq annertutigisumik
how often	qanoq akulikitsigisumik
how old are you	qassinik ukioqarpit
how	qanoq
how was your day	ullumikkut ullut qanoq ippa
how was your night	unnuit qanoq ippa
hubby	uia
hub	ikkuffik
huge	angisooq
hug	eqippaa
human	inuk
humble	ajukkuttoq
humid	isugutak
humidity	isugutak
hundred	hunnorujut
hungry	perlilerpoq
hunt	piniarneq
hurricane	anorersuaq
hurry	tuavi
hurry up	tuavi
hurt	annerpoq
husband	ui
hustle	ulikkaarpoq
hut	illuaraq
hygiene	eqqiluisaarneq
I am fine	ajunngilanga
I am	Uanga
I can	pisinnaavunga
I can't	taamaaliorsinnaanngilanga
ice cream	siku
ice	siku
idea	isumassarsiaq
ideal	nuannaartorisaq
identical	ilisarnartoq
identify	kinaassuseq
identity	kinaassuseq
idiot	sianiitsoq
idle	atorneqanngitsoq
I do	Aap taamaappunga
I do not know	Naluara
I do not understand	paasinngilara
I don't know	naluara
I don’t know	naluara
I don't	taamaaliunngilanga
I don't understand	Paasinngilara
I don’t understand	Paasinngilara
I don't understand what you mean	Qanoq isumaqarnersutit paasinngilara
I don't understand you	Paasisinnaanngilakkit
ignore	soqutiginngiinnaruk
i guess	eqqoriarpara
I had	-qarnikuuvunga
I have been	-nnikuuvunga
I have	peqarpunga
I hope so	Neriuppungami
I know	nalunngilara
I like	nuannaraara
I like you	nuannarivakkit
illegal	inatsisinik unioqqutitsineq
ill	napparsimasoq
illness	napparsimaneq
Ilocano	Ilocano
I love	asavara
I love my big brother	Aninga asavara
I love my big sister	Angajora asavara
I love my father	Ataatanga asavara
I love my little brother	Aqqaluara asavara
I love my little sister	Nukanga asavara
I love my mother	Anaananga asavara
I love you	Asavakkit
I love you so much	Asarujussuarpakkit
I love you too	uanga aamma asavakkit
image	isikkua
imagine	takorluuineq
I mean	ima isumaqarpunga
I'm fine	ajunngilanga
I'm good	Ajunngilanga
I'm here	maaniippunga
I miss you	maqaasivakkit
I miss you so much	maqaaserujussuarpakkit
immediately	tuaviortumik
immediate	tuaviortumik
immense	-lluinnartumik
impact	sunniunneq
impatient	utaqqikatappoq
implement	naammassivoq
important	pisarialik
import	nioqqutissanik eqqussuineq
impose	qallersuutissat
impossible	taamaattoqarsinnaanngilaq
impression	misigisaq
impressive	soqutiginarpoq
impress	kakkagaa
improvement	pitsanngoriartuut
improve	qaffassarpaa
I'm sorry	utoqqatserpunga
I'm	uanga
I’m	uanga
in addition	saniatigut
inappropriate	assuanartoq
incentive	kajumissaarut
incident	pisoq
include	ilanngullugu
including	ilanngullugu
income	isertitat
inconvenience	pisarissersuineq
increased	qaffappoq
increase	qaffappoq
incredible	uppernaappoq
indeed	soorunami
independent	nammineersinnaassusilik
India	Indien
indicate	ilanngullugu
indigenous	nunaqavissut
individual	ataaseq
industry	Suliffissuaq
inevitable	pinngitsoorneqarsinnaanngitsut
In fact	tassa pissusiviusut
infant	inoorlaaq
infection	aseruuttoorneq
infinity	naassaanngitsoq
inflammation	aseruunneq
inflation	aningaasat naleerukkiartornerat
influence	sunniutilik
information	paasissutissaq
inform	naasissutissiineq
in front of	saavani
ingredients	akuutissat
inheritance	kingornutaq
in	iluani
initial	atip naggatillu aallaqqaatai
initiative	pilersitsiniarneq
injured	ajoqusersimasoq
injury	ajoquserneq
innocent	sussuteqanngitsoq
innovation	pilersitsisinnaaneq
in order to	uunga inniminnerneqarpoq
inquiry	apeqquteqaat
insane	niaqulaartoq
insect	sullineq
insecure	imminut tatiginngitsoq
insert	ikkussineq
inside	iluani
insight	anguniagaa
insist	taamaannerarpaa
insomnia	sinissaarunneq
inspiration	isumassarsiffissaq
inspire	isumassarsiaq
install	ikkussineq
instance	assersuut
instant	tassanngaannaq
instead of	taarsiullugu
instead	taarsiullugu
instructions	ilitsersuutit
instrument	nipilersuut
insult	ajuallatsippaa
insurance	sillimmaserneq
intact	ajoqusersimanngitsoq
integrity	innarligassaannginneq
intellectual	silassorissoq
intelligence	silassorissuseq
intelligent	silassorissuseq
intend	anguniarlugu
intended	siunertarineqartoq
intense	aalluppaa
intention	anguniagaq
interaction	sunniivigeqatigiinneq
interact	sunniivigeqatigiinneq
interested	soqutiginnippoq
interesting	soqutiginaq
interest	soqutigisaq
interfere	akulerullugit
intermediate	piffissaq pisut akornganniittoq
internal	ilua
international	nunarsuaq tamakkerlugu
internship	praktikki
interpreter	oqalutsi
interpret	nassuiaat
interrupt	akornusiineq
interview	apersuineq
intimate	atoqatigiinneq
into	ilua
introduce	ilisarititsineq
introduction	ilisaritsitsineq
introvert	asialuk
intuition	malussarinneq
invalid	innarlersimavoq
invent	nassaaraa
inventory	pigisat
invest	aningaasaliineq
investigate	misissuineq
invitation	qaaqqusissut
invite	qaaqqusissut
invoice	akiligassap allagartaanik ilanngussineq
involved	ilanngussat
involve	ilanngullugu
iron	savimineq
I see	takuara
island	qeqertaq
isolated	immikkoorpoq
issue	akornut
issues	akornutit
item	nioqqutissaq
items	pequtit
I think	Isumaqarpunga
it is	imaappoq
it's ok	ajunngilaq
It's okay	ajunngilaq
it was	taannaavoq
I	Uanga
I understand	paasivara
I want	piumavunga
I want to see you	Takorusuppakkit
I want you	piumavakkit
I was	taamaakkama
I will	taamaaliussaanga
I would be	-ssinnaavunga
jacket	kavaajaq
jail	parnaarussivik
January	januari
jar	qummuattaq
jaw	alleroq
jealous	sinngasoq
jerk	sianiitsoq
jewelry	pinnersaatit
job	suliffik
jogging	arpappoq
join	ilanngunneq
joint	katersat
joke	quiasaarneq
journalist	tusagassiortoq
journey	angalaneq
joy	nuannaarneq
judge	eqqartuussisoq
juice	juice
july	juuli
jump	pissippoq
june	juuni
junk	sukujuit
just do it	tamaaliuinnassaatit
justice	naapertuilluarneq
justify	pinngitsuuniarneq
just	taannaannaq
Kalaallisut	Kalaallisut
keen	piumassusilik
keep it up	ingerlaannarit
keep	paariinnaruk
kept	paariinnarpaa
kettle	uunnaavik
key	matuersaat
kick	isummissineq
kidding	piaarivoq
kid	meeraq
kidney	tiguk
kids	meeqqat
kill	toqutsineq
kinda	soorlu
kindly	inussiarnersumik
kindness	inussiarnisaarneq
kind	saamasoq
king	kunngi
kiss	kuninneq
kitchen	iggavik
kite	timmiaq tigutsisilik
kitten	qitsuup piaraa
knee	seeqqoq
knew	nalunngilaa
knife	savik
knight	sakkutooqqinneq
knowledge	ilisimassuseq
know	nalunngilaa
known	ilisarisimaneqartoq
Konkani	Konkani
Krio	Krio
label	allagartaq
labor	ernisuttoq
labour	ernisunneq
lack	amingaataa
ladder	qaffappoq
lady	arnaq
laid	ilereerpoq
lake	taseq
lamb	qulleq
lame	tusiappoq
lamp	qulleq
land	nuna
landscape	nunami pinngortitaq
language	oqaatsit
lap	sarliarpaa
large	angisooq
last but not least	kingulleq minnerunngitsorli
last	kingulleq
last name	naggat
late	kingusissukkut
lately	kingullertigut
later	kingorna
latest	kingullerpaaq
latter	illarneq
laugh	illarpoq
laughing	illarpoq
laughter	ollarneq
launch	saqqummiuppaa
laundry	errortassat
law	inatsik
lawn	ivigalik
lawyer	unnerluussisoq
layer	qaava
lay	innagavoq
layout	isikkua
lazy	eqiasuttoq
leader	aqutsisoq
lead	siulersorpaa
leaf	pilutaq
leak	erngarpoq
lean	innagaarpoq
leap	pissinneq
learn	ilikkagaq
learning	ilinniarpaa
lease	attartorneq
least	minnerpaamik
leather	ameq
leave	ingerlavoq
leaves	qimappaa
led	peqiffiit
left	ingerlavoq
legacy	akuersissut
legal	akuerisaq
legend	sapiitsuliortoq
legit	inatsisinik unioqqutitsinngitsoq
leg	niu
leisure	sunngiffik
lend	atorpaa
length	takissusaa
less	ikinnerit
lesson	nalunaaquttap akunnera atuartitsivik
let	sakkukitsoq
letter	allagaq
lettuce	salaatit
level	qaffasissusaa
leverage	gearingi
liability	akisussaaffik
library	atuakkanik atorniartarfik
lick	aluppaa
lie	sallu
lies	salloqittaanerit
life	inuuneq
lift	kivippaa
lightning	qaammaallanneq
light	qaamasoq
likely	ilimanarpoq
like	soorlu
likewise	soorlu imatut
line	titarneq
Lingala	Lingala
link	linki
lion	løveq
liquid	akussaq
list	allattorsimaffik
listening	tusarnaarneq
listen	tusarnaarit
literally	ilumoortumik oqaatigalugu
literature	atuagassiaqarneq
litter	eqqagassat
little	mikisoq
liver	tiguk
lives	najugaqarpoq
live	toqqaannartumik
living	inuuneq
living room	Ini
lizard	sisamaleeraq
load	atorsaatissinneqarneq
loaf	iffiaq qaqortoq
loan	atorneq
local	taamaallaat qanittuani atuuttoq
location	sumiiffia
lockdown	mattusineq
lock	parnaarpaa
log	iserpoq
lol	illartoq
lonely	kiserliortoq
long	takisooq
long time no see	qangamita
look	takuuk
loop	qalersaq
loose	annaavaa
lord	angut naalagaq
lose	annaasaq
loss	annaasat
lost	tammarpoq
lot	assut
loud	nipitooq
lounge	lounge
lovely	nuanneq
love	nuannaraa
love you	asavakkit
low	atsittoq
lower	atsinneq
loyal	tatiginartoq
loyalty	tatiginassuseq
luck	iluatsitsineq
lucky	iluatsitsivoq
Luganda	Luganda
luggage	nassatat
lump	kulumpaq
lunch	ullup qeqqasiorneq
lungs	puaat
luxury	ilorrisimaarnartoq
lying	salloqitaavoq
machine	maskina
madam	arnaq madam
made	sanaaq
mad	kamattoq
magazine	atuagassiat
magnificent	ingasak
maid	inilerisoq
main	pingaarneq
maintain	aserfallatsaaliineq
maintenance	aserfallatsaaliineq
Maithili	Maithili
majority	amerlanerussuteqartut
major	majoori
make	suliaraa
make up	pinnersaatit
male	angut
mall	pisiniarfissuaq
management	aqutsineq
manager	aqutsisoq
manage	suliarisinnaasaa
man	angut
mandatory	pinngitsoorani
manifest	manifesti
manipulate	uukapaatippaa
manner	ileqqui
manual	najoqqutassaq
many	amerlasuut
many many happy returns of the day	ullormut nuannersunik utertitsivigineqarnerit amerlasuut
march	martsi
margin	margeni
market	tuniniaavik
marriage	katisimaneq
married	katisimasoq
mask	kiinarpak
mass	amerlasoorpassuit
massive	amerlasuut
master	ajugaaffigaa
match	assinga
material	atortussat
mate	suleqat
math	kisitsineq
matter	soqutaavoq
maturity	amerlanerussuteqartut
maybe	Immaqa
may	ilimanaq
meal	nerisassat
meaning	isumaqarpoq
mean	isumaqarpoq
means	isumaqarpoq
meant	Isumaqarpoq
meanwhile	utaqqiisaa
measures	pineqaatissiissut
measure	uuttortaaneq
meat	neqi
medical	nakorsaatit
medicine	nakorsaatit
meditation	eqqarsaqqissaarneq
medium	skunnattoq
meeting	naapinneq
meet	naapippaa
Meiteilon	Meiteilon
melt	aappoq
memories	eqqaamasat
memory	eqqaamasat
mental	sianissutsimut tunngasoq
mentioned	eqqaaneqartoq
mention	eqqaavaa
mentor	sungiusaasoq siunnersorti
merchant	pisiniarfik
mercy	naakkinninneq
merely	ersiinnartoq
merry christmas	juullimi pilluarit
message	nalunaarut
mess	akornut
messy	Tukappoq
metal	savimineq
method	periuseq
me too	uangalu
me	uanga
mice	teriaq
middle	qeqqa
midnight	unnuap qeqqa
might	immaqa
mild	sakkukitsoq
milestone	amiililersuut
military	sakkutooqarfik
milk	immuk
million	million
mindset	eqqarsartariaaseq
mind	silassorissuseq
mine	uanga pikka
mingle	akuleruppoq
minor	ikinnerussuteqartut
minute	minutsi
minutes	minutsit
miracle	tupinnartuliaq
mirror	tarrarsuut
miscellaneous	assigiinngitsut
mischievous	quiassuaasoq
miserable	nuanniilliorpoq
misery	nuanniilliorneq
missing	amingaataavoq
mission	anguniagaq
miss	maqaasivaa
miss you	maqaasivakkit
mistake	kukkuneq
mist	pujoq
Mizo	Mizo
mobile	oqarasuaat angallattagaq
mock	asissorpaa
model	takutitassiaq
moderate	ingasanngitsoq
modern	nutaaliaq
modest	unneqqarissoq
moist	isugutattoq
moisture	isugutak
mold	oquk
mole	muldvarpi
mom	anaana
moment	uisorerneq
monday	ataasinngorneq
money	aningaasat
monitor	monitori
monkey	aapakaaq
month	qaammat
mood	isuma
moody	isumagissaarneq
moon	Qaammat
moral	ileqqorissaarpoq
more	aammalu
moreover	aammamaa
morning	ullaaq
mortgage	qularnaveeqqut
mostly	tamatigut
mother	anaana
motion	timersorneq
motivation	kajumissisitsineq
mountain	Qaqqaq
mouse	teriaq
mouth	qaneq
move	ingerlavoq
movement	ingerlaarneq
movie	isiginnaagassiaq
mrs	nuliaq
much	assut
mud	maralluk
mug	oquk
muscle	nukik
museum	katersugaasivik
mushroom	pupik
music	nipilersuut
mute	nipaaruppaa
mutual	illugiissitaq
My dear	Asasara
my friend	ikinngutiga
My hovercraft is full of eels	Qaatsiartaatinga nimerissanik ulikkaarpoq
my love	asasara
my name is	uanga ateqarpunga
my pleasure	uanga nuannaarniutinga
myself	uanga nammineq
mysterious	nalunartoq
mystery	isertugaq
myth	oqaluttuaq
my	uanga
nail	kukik
naive	meerarpaluppoq
name	ateq
narrative	inuttat
narrow	amitsoq
nasty	naalanngitsoq
nationality	sumiuussuseq
national	nunap iluani
native	nunap inoqqaava
natural	ilakkuminartoq
nature	pinngortitaq
nausea	meriannguneq
nearby	eqqaaniittoq
nearly	qanittuaraq
near	qanittoq
neat	kusanaq
necessary	pisarialik
necklace	ujameq
neck	qungaseq
need	pisariaqartitaq
negative	ajortut
neglect	kinguarsarpaa
negotiate	isumaqatiginninniarneq
neighborhood	matuma eqqaani
neighbor	sanileq
neither	immaqaluunniit
nephew	soraluaq
nerd	pikkorissoq quianaatsoq
nervous	pissagavoq
nest	Timmissap inaa
net	qassutit
network	atassuteqaatit
neutral	neutrali
never give up	tunniutiginngisaannarit
never mind	sussa
nevermind	sussa
nevertheless	taamaakkaluartoq
new	nutaaq
news	nutaarsiassat
next to	tulliani
next	tullia
nice	kusanaq
nice to meet you	naapillutit nuanneq
niece	soraluaq
nightmare	sinnattupiluk
night	unnuaq
nine	quligiluat
nineteen	Anitten
ninety	halvfems
nobody	kinaanngitsoq
noise	nipi
noisy	Nipitooq
No	Naamik
none	soqanngilaq
noon	ulloqeqqa
nope	naamik
no problem	ajunngilaq
nor	aamma taannaanngitsoq
normal	naliginnaasoq
north	avannaa
nose	qingaq
nostalgic	eqqaakulunnermut tunngasoq
not at all	taamaanngilluinnarpoq
not bad	ajunngilaq
noted	allanneqarpoq
note	eqqaamassatut allagaq
nothing	soqanngilaq
noticed	malugaa
notice	malugaa
not	naamik
Not now	Massakkuunngitsoq
not yet	suli maannakkuunngitsoq
nouns	taggisit
noun	taggit
novel	oqaluttualiaq
november	Anovembari
nowadays	ullutsinni
no way	naamerluinnaq
now	massakkut
nuisance	naalliuut
null	noorlu
number	kisitsisit
numb	misigissuseqanngitsoq
nurse	niviarsiaq
nutmeg	muskatsi
nut	qaqqortariaq
nutrition	inuussutissat
oath	uppernarsaaneq
obesity	pualavallaarneq
obey	naalappaa
objective	kinaassusersiuinngitsoq
object	susaq
obligation	pisussaaffik
obscure	eqqumiitsoq
observation	nakkutiginninneq
observe	malinnaavigaa
obsessed	tinguarteqqasoq
obsession	tigusaasimaneq
obsolete	qaangiunnikoq
obstacle	akorngut
obtain	angusaq
obtained	angusaa
obvious	ilimanaq
obviously	ilimanaq
occasionally	ullorsiorpalaartoq
occupation	sulerisuuneq
occupied	atorneqarpoq
occur	aggerpoq
occurred	pisimasoq
occurs	pinngorpoq
ocean	imaq
october	oktoberi
odd	naligiinngitsut
odds	ilimanassusaa
of course	soorunami
offensive	maajunnartut
offer	neqeroorut
office	allaffik
official	pisortatigoortoq
off	qamippoq
often	akulikitsumik
of	uannga
Oh	Oh
oh really	ilumut
oil	olia
okay	ajunngilaq
okay baby	aap nuunu
okay dear	asasara ajunngilaq
okay honey	asasara ajunngilaq
okay my love	asasara ajunngilaq
ok dear	ajunngilaq asasara
ok honey	aap asasara
ok my love	aap asasara
ok	ok
old	utoqqaassuseq
once	ataasia
one	ataaseq
one language is never enough	oqaatsit ataatsit naammanngisaannarput
onion	uanitsoq
online	onlinekkut isersimavoq
only	taamaallaat
on	qaavani
open	ammasoq
operation	suliarinninneq
opinion	isummerneq
opportunities	periarfissat
opportunity	periarfissaq
opposite	akerlia
optimistic	neriuuteqarluartoq
optional	nammineq toqqagassaq
option	periarfissaq toqqagassaq
orange	orangeaq
order	inniminnigaq
ordinary	naliginnaasoq
organization	immikkoortortaqarfik
orientation	paasissutissiineq
origin	aallaavia
original	ilumoortoq
or	imaluunniit
Oromo	Oromo
orphan	iliarsuk
other	alla
otherwise	allatut ajornaqaaq
ought	-tariaqarpoq
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Anguniagaraarput: kikkut tamaasa peqataatissinnaanissaat, nunarsuarmioqatigiinneq tamanut paasinartunngornissaa aammalu inuit namminneq oqaatsitik atorlugit oqaaseqarsinnaanissaat.
Our mission: to organize the world's information and make it universally accessible and useful.	Anguniagaraarput: nunarsuatsinni paasissutissat aaqqissuunnissaat, nunarsuaq tamakkerlugu tamanut ammasuullutillu atorneqarsinnaasut.
